1.10-歷年各鄉鎮市區人口數  Population for Township and District since 1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
單位：人 Unit : Persons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
區域別,,70年底,75年底,80年底,81年底,82年底,83年底,84年底,85年底,86年底,87年底,88年底,89年底,90年底,91年底,92年底,93年底,94年底,95年底,96年底,97年底,98年底,99年底,100年底,101年底,102年底,,,,
Locality,,"End of 
1981","End of 
1986","End of 
1991","End of 
1992","End of 
1993","End of 
1994","End of 
1995","End of 
1996","End of 
1997","End of 
1998","End of 
1999","End of 
2000","End of 
2001","End of 
2002","End of 
2003","End of 
2004","End of 
2005","End of 
2006","End of 
2007","End of 
2008","End of 
2009","End of 
2010","End of 
2011","End of 
2012","End of 
2013",,,,
總 計,Total,"16,629,595","17,859,509","18,880,429","19,061,333","19,235,923","21,177,874","21,357,431","21,525,433","21,742,815","21,928,591","22,092,387","22,276,672","20,557,325","22,520,776","22,604,550","22,689,122","22,770,383","22,876,527","22,958,360","23,037,031","23,119,772","23,162,123","23,224,912","23,315,822","23,373,517",,,,
新北市,New Taipei City,"2,354,858","2,727,510","3,107,278","3,162,346","3,222,629","3,260,731","3,305,615","3,355,299","3,420,535","3,459,624","3,510,917","3,567,896","3,610,252","3,641,446","3,676,533","3,708,099","3,736,677","3,767,095","3,798,015","3,833,730","3,873,653","3,897,367","3,916,451","3,939,305","3,954,929",,,,
板橋區,Banciao District,"422,260","491,721","542,942","543,982","544,067","539,115","530,003","524,323","519,459","520,286","523,850","529,059","532,694","535,476","539,356","541,512","542,319","544,292","547,625","550,767","552,884","554,596","555,335","557,440","556,920",,,,
三重區,Sanchong District,"334,726","358,812","378,397","382,003","383,943","382,880","380,099","377,498","378,502","378,671","380,084","382,266","384,051","384,217","384,618","384,092","383,959","383,636","383,621","384,722","388,304","389,968","390,421","390,090","389,813",,,,
中和區,Jhonghe District,"279,664","334,663","379,968","383,516","387,264","387,123","386,347","383,715","385,912","388,174","392,176","398,123","401,619","403,510","406,325","408,126","408,989","411,011","410,183","412,060","414,535","414,356","414,939","416,499","415,742",,,,
永和區,Yonghe District,"213,787","238,677","247,473","246,355","245,743","241,104","233,082","230,734","228,909","227,673","227,700","228,099","229,383","230,660","231,816","233,384","235,059","235,697","236,413","236,598","236,812","234,536","232,386","230,768","229,062",,,,
新莊區,Sinjhuang District,"191,073","243,706","308,293","314,980","321,970","328,758","339,143","346,132","353,878","359,367","365,048","372,175","376,584","380,334","383,745","386,941","389,074","392,472","396,337","398,317","400,848","402,204","404,089","407,012","409,760",,,,
新店區,Sindian District,"171,315","198,125","233,277","240,558","245,897","248,822","250,559","254,078","259,166","261,024","263,603","268,290","272,500","275,467","280,661","285,186","287,472","289,366","290,590","292,693","294,602","296,411","296,581","297,637","299,017",,,,
樹林區,Shulin District,"77,378","95,557","115,581","120,115","124,857","129,220","135,322","140,110","144,566","147,071","151,260","154,158","156,159","157,913","159,101","159,930","160,762","162,476","164,723","168,689","172,300","176,077","179,788","182,012","183,407",,,,
