十五大癌症第十一位非何杰金氏淋巴瘤--按戶籍縣市別統計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
門、住診合計(包括急診)統計---縣市別*性別年齡五歲組別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
單位：人數,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
縣市別,門、住診合計(包括急診)人數,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,總計,,,0~4歲,,,5~9歲,,,10~14歲,,,15~19歲,,,20~24歲,,,25~29歲,,,30~34歲,,,35~39歲,,,40~44歲,,,45~49歲,,,50~54歲,,,55~59歲,,,60~64歲,,,65~69歲,,,70~74歲,,,75~79歲,,,80~84歲,,,85歲以上,,
,,男,女,,男,女,,男,女,1~4 Years of Age,男,女,5~9 Years of Age,男,女,10~14 Years of Age,男,女,,男,女,20~24 Years of Age,男,女,25~29 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女
,Total,,,0~4 Years of Age,,,5~9 Years of Age,,,10~14 Years of Age,,,15~19 Years of Age,,,20~24 Years of Age,,,25~29 Years of Age,,,30~34 Years of Age,,,35~39 Years of Age,,,40~44 Years of Age,,,45~49 Years of Age,,,50~54 Years of Age,,,55~59 Years of Age,,,60~64 Years of Age,,,65~69 Years of Age,,,70~74 Years of Age,,,75~79 Years of Age,,,80~84 Years of Age,,,Above 85 Years Old,,
,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female
總計Total," 16,863 "," 9,058 "," 7,805 ", 88 , 52 , 36 , 141 , 84 , 57 , 266 , 167 , 99 , 342 , 219 , 123 , 363 , 208 , 155 , 463 , 224 , 239 , 602 , 302 , 300 , 592 , 290 , 302 , 846 , 439 , 407 ," 1,128 ", 575 , 553 ," 1,641 ", 834 , 807 ," 1,908 ", 998 , 910 ," 1,785 ", 976 , 809 ," 1,568 ", 798 , 770 ," 1,687 ", 888 , 799 ," 1,491 ", 830 , 661 ," 1,201 ", 725 , 476 , 751 , 449 , 302 
新北市New Taipei City," 2,759 "," 1,472 "," 1,287 ", 12 , 9 , 3 , 20 , 9 , 11 , 43 , 25 , 18 , 49 , 31 , 18 , 59 , 37 , 22 , 71 , 32 , 39 , 119 , 59 , 60 , 99 , 46 , 53 , 153 , 79 , 74 , 212 , 104 , 108 , 302 , 153 , 149 , 338 , 177 , 161 , 342 , 186 , 156 , 243 , 122 , 121 , 230 , 115 , 115 , 195 , 113 , 82 , 167 , 106 , 61 , 105 , 69 , 36 
台北市Taipei City," 2,568 "," 1,300 "," 1,268 ", 8 , 5 , 3 , 15 , 11 , 4 , 27 , 18 , 9 , 43 , 27 , 16 , 47 , 23 , 24 , 53 , 29 , 24 , 67 , 31 , 36 , 69 , 30 , 39 , 117 , 44 , 73 , 158 , 70 , 88 , 201 , 86 , 115 , 303 , 143 , 160 , 272 , 146 , 126 , 232 , 124 , 108 , 271 , 123 , 148 , 240 , 130 , 110 , 239 , 138 , 101 , 206 , 122 , 84 
台中市Taichung City," 1,679 ", 887 , 792 , 14 , 7 , 7 , 21 , 13 , 8 , 31 , 17 , 14 , 45 , 28 , 17 , 54 , 32 , 22 , 52 , 22 , 30 , 56 , 29 , 27 , 59 , 27 , 32 , 79 , 41 , 38 , 117 , 60 , 57 , 170 , 89 , 81 , 191 , 75 , 116 , 166 , 91 , 75 , 160 , 76 , 84 , 156 , 91 , 65 , 138 , 81 , 57 , 97 , 63 , 34 , 73 , 45 , 28 
台南市Tainan City," 1,369 ", 737 , 632 , 4 , - , 4 , 13 , 10 , 3 , 19 , 10 , 9 , 25 , 15 , 10 , 25 , 10 , 15 , 48 , 28 , 20 , 52 , 24 , 28 , 63 , 27 , 36 , 68 , 35 , 33 , 91 , 44 , 47 , 136 , 72 , 64 , 144 , 80 , 64 , 148 , 93 , 55 , 132 , 74 , 58 , 144 , 75 , 69 , 124 , 69 , 55 , 88 , 47 , 41 , 45 , 24 , 21 
高雄市Kaohsiung City," 1,870 "," 1,013 ", 857 , 12 , 9 , 3 , 13 , 10 , 3 , 25 , 15 , 10 , 37 , 22 , 15 , 36 , 25 , 11 , 49 , 25 , 24 , 77 , 38 , 39 , 75 , 40 , 35 , 84 , 50 , 34 , 134 , 70 , 64 , 214 , 113 , 101 , 209 , 112 , 97 , 213 , 118 , 95 , 190 , 84 , 106 , 172 , 83 , 89 , 144 , 81 , 63 , 114 , 75 , 39 , 72 , 43 , 29 
宜蘭縣Ilan County, 310 , 172 , 138 , 3 , 2 , 1 , 3 , 1 , 2 , 3 , 2 , 1 , 5 , 3 , 2 , 7 , 4 , 3 , 5 , 2 , 3 , 9 , 6 , 3 , 11 , 5 , 6 , 16 , 6 , 10 , 23 , 18 , 5 , 32 , 19 , 13 , 31 , 18 , 13 , 27 , 18 , 9 , 29 , 11 , 18 , 36 , 21 , 15 , 41 , 19 , 22 , 21 , 13 , 8 , 8 , 4 , 4 
