十五大癌症第二位肝和肝內膽管癌--按戶籍縣市別統計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
門、住診合計(包括急診)統計---縣市別*性別年齡五歲組別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
單位：人數,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
縣市別,門、住診合計(包括急診)人數,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,總計,,,0~4歲,,,5~9歲,,,10~14歲,,,15~19歲,,,20~24歲,,,25~29歲,,,30~34歲,,,35~39歲,,,40~44歲,,,45~49歲,,,50~54歲,,,55~59歲,,,60~64歲,,,65~69歲,,,70~74歲,,,75~79歲,,,80~84歲,,,85歲以上,,
,,男,女,,男,女,,男,女,1~4 Years of Age,男,女,5~9 Years of Age,男,女,10~14 Years of Age,男,女,,男,女,20~24 Years of Age,男,女,25~29 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女
,Total,,,0~4 Years of Age,,,5~9 Years of Age,,,10~14 Years of Age,,,15~19 Years of Age,,,20~24 Years of Age,,,25~29 Years of Age,,,30~34 Years of Age,,,35~39 Years of Age,,,40~44 Years of Age,,,45~49 Years of Age,,,50~54 Years of Age,,,55~59 Years of Age,,,60~64 Years of Age,,,65~69 Years of Age,,,70~74 Years of Age,,,75~79 Years of Age,,,80~84 Years of Age,,,Above 85 Years Old,,
,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female
總計Total," 56,660 "," 37,190 "," 19,470 ", 59 , 37 , 22 , 28 , 17 , 11 , 48 , 26 , 22 , 82 , 39 , 43 , 158 , 95 , 63 , 425 , 255 , 170 , 899 , 571 , 328 ," 1,518 "," 1,002 ", 516 ," 2,523 "," 1,853 ", 670 ," 3,868 "," 2,887 ", 981 ," 5,512 "," 4,036 "," 1,476 "," 7,615 "," 5,503 "," 2,112 "," 7,382 "," 5,019 "," 2,363 "," 6,872 "," 4,257 "," 2,615 "," 7,428 "," 4,396 "," 3,032 "," 6,090 "," 3,565 "," 2,525 "," 4,053 "," 2,398 "," 1,655 "," 2,100 "," 1,234 ", 866 
新北市New Taipei City," 7,381 "," 4,915 "," 2,466 ", 8 , 3 , 5 , 5 , 4 , 1 , 13 , 7 , 6 , 16 , 10 , 6 , 29 , 13 , 16 , 66 , 35 , 31 , 145 , 84 , 61 , 246 , 154 , 92 , 399 , 300 , 99 , 591 , 430 , 161 , 877 , 614 , 263 ," 1,124 ", 810 , 314 ," 1,037 ", 708 , 329 , 817 , 509 , 308 , 790 , 470 , 320 , 601 , 369 , 232 , 382 , 249 , 133 , 235 , 146 , 89 
台北市Taipei City," 6,577 "," 4,000 "," 2,577 ", 8 , 4 , 4 , 2 , - , 2 , 6 , 3 , 3 , 33 , 14 , 19 , 51 , 30 , 21 , 85 , 41 , 44 , 125 , 69 , 56 , 200 , 99 , 101 , 287 , 179 , 108 , 449 , 287 , 162 , 608 , 368 , 240 , 864 , 559 , 305 , 833 , 529 , 304 , 706 , 449 , 257 , 768 , 467 , 301 , 687 , 397 , 290 , 525 , 292 , 233 , 340 , 213 , 127 
台中市Taichung City," 4,962 "," 3,266 "," 1,696 ", 11 , 6 , 5 , 2 , 2 , - , 5 , 3 , 2 , 9 , 5 , 4 , 5 , 2 , 3 , 38 , 20 , 18 , 71 , 50 , 21 , 132 , 91 , 41 , 207 , 161 , 46 , 317 , 257 , 60 , 467 , 348 , 119 , 685 , 485 , 200 , 653 , 444 , 209 , 615 , 380 , 235 , 690 , 391 , 299 , 543 , 316 , 227 , 346 , 208 , 138 , 166 , 97 , 69 
台南市Tainan City," 5,455 "," 3,607 "," 1,848 ", 7 , 5 , 2 , 1 , 1 , - , 3 , 1 , 2 , 2 , 1 , 1 , 6 , 5 , 1 , 20 , 14 , 6 , 59 , 35 , 24 , 102 , 76 , 26 , 186 , 136 , 50 , 331 , 271 , 60 , 500 , 397 , 103 , 745 , 574 , 171 , 741 , 522 , 219 , 711 , 437 , 274 , 773 , 460 , 313 , 685 , 362 , 323 , 402 , 207 , 195 , 181 , 103 , 78 
高雄市Kaohsiung City," 7,395 "," 4,938 "," 2,457 ", 1 , 1 , - , 3 , 2 , 1 , 5 , 3 , 2 , 7 , 3 , 4 , 10 , 4 , 6 , 55 , 36 , 19 , 113 , 79 , 34 , 157 , 113 , 44 , 295 , 229 , 66 , 495 , 373 , 122 , 687 , 529 , 158 ," 1,086 ", 810 , 276 ," 1,063 ", 742 , 321 , 970 , 605 , 365 , 989 , 564 , 425 , 751 , 417 , 334 , 470 , 291 , 179 , 238 , 137 , 101 
宜蘭縣Ilan County," 1,503 ", 968 , 535 , 1 , - , 1 , 1 , - , 1 , 1 , - , 1 , - , - , - , 3 , 3 , - , 8 , 5 , 3 , 35 , 20 , 15 , 55 , 33 , 22 , 83 , 58 , 25 , 129 , 94 , 35 , 154 , 105 , 49 , 187 , 124 , 63 , 167 , 111 , 56 , 162 , 99 , 63 , 185 , 116 , 69 , 174 , 100 , 74 , 105 , 64 , 41 , 53 , 36 , 17 
