十五大癌症第四位女性乳癌--按戶籍縣市別統計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
門、住診合計(包括急診)統計---縣市別*性別年齡五歲組別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
單位：人數,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
縣市別,門、住診合計(包括急診)人數,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,總計,,,0~4歲,,,5~9歲,,,10~14歲,,,15~19歲,,,20~24歲,,,25~29歲,,,30~34歲,,,35~39歲,,,40~44歲,,,45~49歲,,,50~54歲,,,55~59歲,,,60~64歲,,,65~69歲,,,70~74歲,,,75~79歲,,,80~84歲,,,85歲以上,,
,,男,女,,男,女,,男,女,1~4 Years of Age,男,女,5~9 Years of Age,男,女,10~14 Years of Age,男,女,,男,女,20~24 Years of Age,男,女,25~29 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女
,Total,,,0~4 Years of Age,,,5~9 Years of Age,,,10~14 Years of Age,,,15~19 Years of Age,,,20~24 Years of Age,,,25~29 Years of Age,,,30~34 Years of Age,,,35~39 Years of Age,,,40~44 Years of Age,,,45~49 Years of Age,,,50~54 Years of Age,,,55~59 Years of Age,,,60~64 Years of Age,,,65~69 Years of Age,,,70~74 Years of Age,,,75~79 Years of Age,,,80~84 Years of Age,,,Above 85 Years Old,,
,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female
總計Total," 83,623 ", - ," 83,623 ", 1 , - , 1 , 1 , - , 1 , 1 , - , 1 , 16 , - , 16 , 88 , - , 88 , 409 , - , 409 ," 1,432 ", - ," 1,432 "," 3,171 ", - ," 3,171 "," 7,191 ", - ," 7,191 "," 12,866 ", - ," 12,866 "," 15,328 ", - ," 15,328 "," 14,814 ", - ," 14,814 "," 10,416 ", - ," 10,416 "," 7,043 ", - ," 7,043 "," 5,238 ", - ," 5,238 "," 3,119 ", - ," 3,119 "," 1,598 ", - ," 1,598 ", 891 , - , 891 
新北市New Taipei City," 15,210 ", - ," 15,210 ", - , - , - , - , - , - , - , - , - , 4 , - , 4 , 17 , - , 17 , 71 , - , 71 , 293 , - , 293 , 598 , - , 598 ," 1,327 ", - ," 1,327 "," 2,533 ", - ," 2,533 "," 3,023 ", - ," 3,023 "," 2,919 ", - ," 2,919 "," 1,886 ", - ," 1,886 "," 1,101 ", - ," 1,101 ", 701 , - , 701 , 412 , - , 412 , 216 , - , 216 , 109 , - , 109 
台北市Taipei City," 15,068 ", - ," 15,068 ", 1 , - , 1 , - , - , - , - , - , - , 6 , - , 6 , 20 , - , 20 , 63 , - , 63 , 189 , - , 189 , 451 , - , 451 ," 1,157 ", - ," 1,157 "," 2,056 ", - ," 2,056 "," 2,683 ", - ," 2,683 "," 2,588 ", - ," 2,588 "," 2,091 ", - ," 2,091 "," 1,377 ", - ," 1,377 "," 1,031 ", - ," 1,031 ", 687 , - , 687 , 399 , - , 399 , 269 , - , 269 
台中市Taichung City," 8,797 ", - ," 8,797 ", - , - , - , - , - , - , - , - , - , 1 , - , 1 , 10 , - , 10 , 45 , - , 45 , 152 , - , 152 , 342 , - , 342 , 837 , - , 837 ," 1,422 ", - ," 1,422 "," 1,651 ", - ," 1,651 "," 1,521 ", - ," 1,521 "," 1,000 ", - ," 1,000 ", 706 , - , 706 , 542 , - , 542 , 324 , - , 324 , 164 , - , 164 , 80 , - , 80 
台南市Tainan City," 6,550 ", - ," 6,550 ", - , - , - , 1 , - , 1 , - , - , - , 1 , - , 1 , 5 , - , 5 , 36 , - , 36 , 102 , - , 102 , 253 , - , 253 , 563 , - , 563 ," 1,071 ", - ," 1,071 "," 1,145 ", - ," 1,145 "," 1,111 ", - ," 1,111 ", 815 , - , 815 , 556 , - , 556 , 436 , - , 436 , 288 , - , 288 , 110 , - , 110 , 57 , - , 57 
高雄市Kaohsiung City," 9,959 ", - ," 9,959 ", - , - , - , - , - , - , - , - , - , - , - , - , 7 , - , 7 , 36 , - , 36 , 169 , - , 169 , 389 , - , 389 , 780 , - , 780 ," 1,500 ", - ," 1,500 "," 1,870 ", - ," 1,870 "," 1,894 ", - ," 1,894 "," 1,272 ", - ," 1,272 ", 898 , - , 898 , 591 , - , 591 , 318 , - , 318 , 161 , - , 161 , 74 , - , 74 
宜蘭縣Ilan County," 1,546 ", - ," 1,546 ", - , - , - , - , - , - , - , - , - , 1 , - , 1 , 2 , - , 2 , 10 , - , 10 , 28 , - , 28 , 49 , - , 49 , 117 , - , 117 , 225 , - , 225 , 241 , - , 241 , 274 , - , 274 , 189 , - , 189 , 156 , - , 156 , 103 , - , 103 , 83 , - , 83 , 45 , - , 45 , 23 , - , 23 
