十五大癌症第六位胃癌--按戶籍縣市別統計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
門、住診合計(包括急診)統計---縣市別*性別年齡五歲組別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
單位：人數,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
縣市別,門、住診合計(包括急診)人數,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,總計,,,0~4歲,,,5~9歲,,,10~14歲,,,15~19歲,,,20~24歲,,,25~29歲,,,30~34歲,,,35~39歲,,,40~44歲,,,45~49歲,,,50~54歲,,,55~59歲,,,60~64歲,,,65~69歲,,,70~74歲,,,75~79歲,,,80~84歲,,,85歲以上,,
,,男,女,,男,女,,男,女,1~4 Years of Age,男,女,5~9 Years of Age,男,女,10~14 Years of Age,男,女,,男,女,20~24 Years of Age,男,女,25~29 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女
,Total,,,0~4 Years of Age,,,5~9 Years of Age,,,10~14 Years of Age,,,15~19 Years of Age,,,20~24 Years of Age,,,25~29 Years of Age,,,30~34 Years of Age,,,35~39 Years of Age,,,40~44 Years of Age,,,45~49 Years of Age,,,50~54 Years of Age,,,55~59 Years of Age,,,60~64 Years of Age,,,65~69 Years of Age,,,70~74 Years of Age,,,75~79 Years of Age,,,80~84 Years of Age,,,Above 85 Years Old,,
,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female
總計Total," 19,651 "," 11,742 "," 7,909 ", 4 , 2 , 2 , 2 , 1 , 1 , 2 , 2 , - , 6 , 3 , 3 , 18 , 6 , 12 , 69 , 27 , 42 , 199 , 99 , 100 , 286 , 139 , 147 , 551 , 263 , 288 ," 1,029 ", 526 , 503 ," 1,560 ", 856 , 704 ," 2,116 "," 1,206 ", 910 ," 2,020 "," 1,162 ", 858 ," 2,006 "," 1,187 ", 819 ," 2,493 "," 1,497 ", 996 ," 2,810 "," 1,809 "," 1,001 "," 2,618 "," 1,764 ", 854 ," 1,862 "," 1,193 ", 669 
新北市New Taipei City," 3,089 "," 1,811 "," 1,278 ", - , - , - , - , - , - , 1 , 1 , - , 2 , 2 , - , 3 , 2 , 1 , 14 , 8 , 6 , 30 , 15 , 15 , 66 , 38 , 28 , 88 , 33 , 55 , 197 , 97 , 100 , 287 , 150 , 137 , 370 , 200 , 170 , 349 , 199 , 150 , 301 , 179 , 122 , 358 , 198 , 160 , 387 , 262 , 125 , 345 , 245 , 100 , 291 , 182 , 109 
台北市Taipei City," 2,898 "," 1,685 "," 1,213 ", - , - , - , - , - , - , - , - , - , 1 , 1 , - , 2 , 1 , 1 , 7 , 5 , 2 , 17 , 8 , 9 , 25 , 9 , 16 , 61 , 26 , 35 , 135 , 60 , 75 , 204 , 90 , 114 , 289 , 157 , 132 , 299 , 164 , 135 , 294 , 166 , 128 , 339 , 195 , 144 , 373 , 226 , 147 , 443 , 298 , 145 , 409 , 279 , 130 
台中市Taichung City," 1,846 "," 1,091 ", 755 , - , - , - , - , - , - , - , - , - , 1 , - , 1 , 3 , 2 , 1 , 5 , 2 , 3 , 21 , 9 , 12 , 22 , 9 , 13 , 58 , 23 , 35 , 120 , 62 , 58 , 155 , 77 , 78 , 237 , 134 , 103 , 176 , 92 , 84 , 180 , 97 , 83 , 229 , 150 , 79 , 265 , 189 , 76 , 242 , 162 , 80 , 132 , 83 , 49 
台南市Tainan City," 1,452 ", 827 , 625 , 1 , 1 , - , - , - , - , - , - , - , 1 , - , 1 , - , - , - , 3 , 1 , 2 , 21 , 12 , 9 , 16 , 4 , 12 , 48 , 23 , 25 , 65 , 30 , 35 , 113 , 60 , 53 , 143 , 83 , 60 , 142 , 79 , 63 , 162 , 93 , 69 , 173 , 98 , 75 , 235 , 142 , 93 , 199 , 128 , 71 , 130 , 73 , 57 
高雄市Kaohsiung City," 2,130 "," 1,269 ", 861 , 1 , - , 1 , 2 , 1 , 1 , - , - , - , - , - , - , 2 , - , 2 , 11 , 6 , 5 , 36 , 16 , 20 , 34 , 18 , 16 , 55 , 31 , 24 , 134 , 59 , 75 , 178 , 101 , 77 , 254 , 150 , 104 , 251 , 137 , 114 , 240 , 143 , 97 , 266 , 148 , 118 , 255 , 164 , 91 , 252 , 190 , 62 , 159 , 105 , 54 
宜蘭縣Ilan County, 743 , 514 , 229 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , 1 , 7 , 7 , - , 5 , 4 , 1 , 9 , 6 , 3 , 36 , 26 , 10 , 43 , 32 , 11 , 67 , 40 , 27 , 53 , 38 , 15 , 78 , 50 , 28 , 116 , 80 , 36 , 149 , 109 , 40 , 110 , 76 , 34 , 69 , 46 , 23 
