十五大癌症第七位前列腺(攝護腺)癌--按戶籍縣市別統計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
門、住診合計(包括急診)統計---縣市別*性別年齡五歲組別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
單位：人數,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
縣市別,門、住診合計(包括急診)人數,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,總計,,,0~4歲,,,5~9歲,,,10~14歲,,,15~19歲,,,20~24歲,,,25~29歲,,,30~34歲,,,35~39歲,,,40~44歲,,,45~49歲,,,50~54歲,,,55~59歲,,,60~64歲,,,65~69歲,,,70~74歲,,,75~79歲,,,80~84歲,,,85歲以上,,
,,男,女,,男,女,,男,女,1~4 Years of Age,男,女,5~9 Years of Age,男,女,10~14 Years of Age,男,女,,男,女,20~24 Years of Age,男,女,25~29 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女
,Total,,,0~4 Years of Age,,,5~9 Years of Age,,,10~14 Years of Age,,,15~19 Years of Age,,,20~24 Years of Age,,,25~29 Years of Age,,,30~34 Years of Age,,,35~39 Years of Age,,,40~44 Years of Age,,,45~49 Years of Age,,,50~54 Years of Age,,,55~59 Years of Age,,,60~64 Years of Age,,,65~69 Years of Age,,,70~74 Years of Age,,,75~79 Years of Age,,,80~84 Years of Age,,,Above 85 Years Old,,
,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female
總計Total," 32,793 "," 32,793 ", - , 1 , 1 , - , 1 , 1 , - , - , - , - , 2 , 2 , - , 4 , 4 , - , 22 , 22 , - , 38 , 38 , - , 44 , 44 , - , 111 , 111 , - , 279 , 279 , - , 689 , 689 , - ," 1,808 "," 1,808 ", - ," 2,857 "," 2,857 ", - ," 4,119 "," 4,119 ", - ," 5,587 "," 5,587 ", - ," 6,447 "," 6,447 ", - ," 6,593 "," 6,593 ", - ," 4,191 "," 4,191 ", - 
新北市New Taipei City," 5,166 "," 5,166 ", - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 5 , 5 , - , 13 , 13 , - , 16 , 16 , - , 30 , 30 , - , 71 , 71 , - , 146 , 146 , - , 422 , 422 , - , 547 , 547 , - , 736 , 736 , - , 801 , 801 , - , 871 , 871 , - , 903 , 903 , - , 605 , 605 , - 
台北市Taipei City," 7,500 "," 7,500 ", - , 1 , 1 , - , 1 , 1 , - , - , - , - , 1 , 1 , - , 1 , 1 , - , 6 , 6 , - , 8 , 8 , - , 11 , 11 , - , 30 , 30 , - , 82 , 82 , - , 211 , 211 , - , 527 , 527 , - , 767 , 767 , - , 929 , 929 , - ," 1,122 "," 1,122 ", - ," 1,308 "," 1,308 ", - ," 1,448 "," 1,448 ", - ," 1,047 "," 1,047 ", - 
台中市Taichung City," 3,085 "," 3,085 ", - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , 1 , - , - , - , - , 4 , 4 , - , 1 , 1 , - , 7 , 7 , - , 19 , 19 , - , 60 , 60 , - , 160 , 160 , - , 247 , 247 , - , 384 , 384 , - , 528 , 528 , - , 594 , 594 , - , 668 , 668 , - , 412 , 412 , - 
台南市Tainan City," 2,207 "," 2,207 ", - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 2 , 2 , - , - , - , - , 4 , 4 , - , 3 , 3 , - , 11 , 11 , - , 31 , 31 , - , 99 , 99 , - , 134 , 134 , - , 277 , 277 , - , 428 , 428 , - , 507 , 507 , - , 466 , 466 , - , 245 , 245 , - 
高雄市Kaohsiung City," 3,099 "," 3,099 ", - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , 1 , - , - , - , - , 3 , 3 , - , 1 , 1 , - , 2 , 2 , - , 12 , 12 , - , 37 , 37 , - , 144 , 144 , - , 288 , 288 , - , 404 , 404 , - , 546 , 546 , - , 661 , 661 , - , 635 , 635 , - , 365 , 365 , - 
宜蘭縣Ilan County, 737 , 737 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , 1 , - , 1 , 1 , - , - , - , - , 3 , 3 , - , 5 , 5 , - , 18 , 18 , - , 33 , 33 , - , 47 , 47 , - , 89 , 89 , - , 146 , 146 , - , 164 , 164 , - , 143 , 143 , - , 87 , 87 , - 
