十五大癌症第十二位非何杰金氏淋巴瘤--按戶籍縣市別統計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
門、住診合計(包括急診)統計---縣市別*性別年齡五歲組別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
單位：人數,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
縣市別,門、住診合計(包括急診)人數,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,總計,,,0~4歲,,,5~9歲,,,10~14歲,,,15~19歲,,,20~24歲,,,25~29歲,,,30~34歲,,,35~39歲,,,40~44歲,,,45~49歲,,,50~54歲,,,55~59歲,,,60~64歲,,,65~69歲,,,70~74歲,,,75~79歲,,,80~84歲,,,85歲以上,,
,,男,女,,男,女,,男,女,1~4 Years of Age,男,女,5~9 Years of Age,男,女,10~14 Years of Age,男,女,,男,女,20~24 Years of Age,男,女,25~29 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女
,Total,,,0~4 Years of Age,,,5~9 Years of Age,,,10~14 Years of Age,,,15~19 Years of Age,,,20~24 Years of Age,,,25~29 Years of Age,,,30~34 Years of Age,,,35~39 Years of Age,,,40~44 Years of Age,,,45~49 Years of Age,,,50~54 Years of Age,,,55~59 Years of Age,,,60~64 Years of Age,,,65~69 Years of Age,,,70~74 Years of Age,,,75~79 Years of Age,,,80~84 Years of Age,,,Above 85 Years Old,,
,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female
總計Total," 18,131 "," 9,658 "," 8,473 ", 79 , 37 , 42 , 140 , 84 , 56 , 243 , 149 , 94 , 351 , 227 , 124 , 374 , 210 , 164 , 448 , 228 , 220 , 617 , 322 , 295 , 639 , 300 , 339 , 862 , 442 , 420 ," 1,172 ", 602 , 570 ," 1,680 ", 810 , 870 ," 2,090 "," 1,106 ", 984 ," 2,216 "," 1,188 "," 1,028 "," 1,601 ", 824 , 777 ," 1,861 ", 969 , 892 ," 1,574 ", 839 , 735 ," 1,318 ", 810 , 508 , 866 , 511 , 355 
新北市New Taipei City," 2,650 "," 1,359 "," 1,291 ", 14 , 6 , 8 , 26 , 15 , 11 , 39 , 20 , 19 , 54 , 30 , 24 , 54 , 29 , 25 , 65 , 35 , 30 , 115 , 61 , 54 , 104 , 44 , 60 , 138 , 66 , 72 , 202 , 99 , 103 , 308 , 142 , 166 , 348 , 176 , 172 , 368 , 196 , 172 , 202 , 99 , 103 , 216 , 104 , 112 , 163 , 82 , 81 , 136 , 92 , 44 , 98 , 63 , 35 
台北市Taipei City," 2,455 "," 1,206 "," 1,249 ", 4 , 3 , 1 , 14 , 9 , 5 , 36 , 24 , 12 , 37 , 26 , 11 , 44 , 22 , 22 , 63 , 32 , 31 , 72 , 38 , 34 , 78 , 37 , 41 , 128 , 51 , 77 , 147 , 62 , 85 , 197 , 89 , 108 , 291 , 139 , 152 , 330 , 155 , 175 , 209 , 106 , 103 , 251 , 106 , 145 , 224 , 119 , 105 , 189 , 109 , 80 , 141 , 79 , 62 
台中市Taichung City," 1,678 ", 861 , 817 , 13 , 7 , 6 , 22 , 13 , 9 , 30 , 14 , 16 , 44 , 29 , 15 , 49 , 32 , 17 , 48 , 23 , 25 , 62 , 29 , 33 , 82 , 38 , 44 , 87 , 34 , 53 , 125 , 66 , 59 , 165 , 76 , 89 , 192 , 92 , 100 , 180 , 82 , 98 , 143 , 74 , 69 , 147 , 78 , 69 , 118 , 70 , 48 , 110 , 62 , 48 , 61 , 42 , 19 
台南市Tainan City," 1,337 ", 685 , 652 , 8 , 4 , 4 , 8 , 5 , 3 , 14 , 8 , 6 , 33 , 19 , 14 , 29 , 13 , 16 , 43 , 24 , 19 , 49 , 20 , 29 , 70 , 32 , 38 , 77 , 35 , 42 , 82 , 36 , 46 , 124 , 58 , 66 , 162 , 84 , 78 , 155 , 92 , 63 , 116 , 63 , 53 , 134 , 69 , 65 , 108 , 53 , 55 , 81 , 50 , 31 , 44 , 20 , 24 
高雄市Kaohsiung City," 1,796 ", 949 , 847 , 8 , 2 , 6 , 16 , 11 , 5 , 25 , 15 , 10 , 34 , 20 , 14 , 39 , 19 , 20 , 45 , 29 , 16 , 71 , 42 , 29 , 70 , 31 , 39 , 84 , 49 , 35 , 126 , 65 , 61 , 198 , 102 , 96 , 242 , 122 , 120 , 225 , 122 , 103 , 180 , 85 , 95 , 155 , 70 , 85 , 130 , 74 , 56 , 86 , 55 , 31 , 62 , 36 , 26 
宜蘭縣Ilan County, 327 , 165 , 162 , 3 , 2 , 1 , 4 , 2 , 2 , 6 , 3 , 3 , 9 , 6 , 3 , 10 , 5 , 5 , 6 , 1 , 5 , 9 , 7 , 2 , 11 , 3 , 8 , 14 , 6 , 8 , 25 , 16 , 9 , 25 , 12 , 13 , 33 , 19 , 14 , 38 , 21 , 17 , 27 , 9 , 18 , 45 , 25 , 20 , 31 , 11 , 20 , 25 , 15 , 10 , 6 , 2 , 4 
