十五大癌症第三位結腸、直腸和肛門癌--按戶籍縣市別統計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
門、住診合計(包括急診)統計---縣市別*性別年齡五歲組別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
單位：人數,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
縣市別,門、住診合計(包括急診)人數,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,總計,,,0~4歲,,,5~9歲,,,10~14歲,,,15~19歲,,,20~24歲,,,25~29歲,,,30~34歲,,,35~39歲,,,40~44歲,,,45~49歲,,,50~54歲,,,55~59歲,,,60~64歲,,,65~69歲,,,70~74歲,,,75~79歲,,,80~84歲,,,85歲以上,,
,,男,女,,男,女,,男,女,1~4 Years of Age,男,女,5~9 Years of Age,男,女,10~14 Years of Age,男,女,,男,女,20~24 Years of Age,男,女,25~29 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女
,Total,,,0~4 Years of Age,,,5~9 Years of Age,,,10~14 Years of Age,,,15~19 Years of Age,,,20~24 Years of Age,,,25~29 Years of Age,,,30~34 Years of Age,,,35~39 Years of Age,,,40~44 Years of Age,,,45~49 Years of Age,,,50~54 Years of Age,,,55~59 Years of Age,,,60~64 Years of Age,,,65~69 Years of Age,,,70~74 Years of Age,,,75~79 Years of Age,,,80~84 Years of Age,,,Above 85 Years Old,,
,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female
總計Total," 88,116 "," 48,243 "," 39,873 ", 4 , 3 , 1 , 10 , 6 , 4 , 27 , 15 , 12 , 80 , 38 , 42 , 227 , 129 , 98 , 409 , 220 , 189 , 991 , 533 , 458 ," 1,602 ", 793 , 809 ," 2,605 "," 1,311 "," 1,294 "," 4,263 "," 2,146 "," 2,117 "," 7,354 "," 3,838 "," 3,516 "," 10,391 "," 5,576 "," 4,815 "," 11,579 "," 6,485 "," 5,094 "," 10,217 "," 5,744 "," 4,473 "," 11,554 "," 6,404 "," 5,150 "," 10,960 "," 5,987 "," 4,973 "," 9,219 "," 5,404 "," 3,815 "," 6,624 "," 3,611 "," 3,013 "
新北市New Taipei City," 12,247 "," 6,388 "," 5,859 ", 2 , 1 , 1 , 5 , 3 , 2 , 9 , 4 , 5 , 14 , 9 , 5 , 51 , 29 , 22 , 73 , 40 , 33 , 182 , 99 , 83 , 278 , 134 , 144 , 422 , 191 , 231 , 696 , 315 , 381 ," 1,240 ", 597 , 643 ," 1,718 ", 863 , 855 ," 1,833 ", 989 , 844 ," 1,503 ", 786 , 717 ," 1,441 ", 776 , 665 ," 1,189 ", 623 , 566 , 946 , 565 , 381 , 645 , 364 , 281 
台北市Taipei City," 11,936 "," 6,138 "," 5,798 ", - , - , - , 1 , 1 , - , 9 , 7 , 2 , 25 , 8 , 17 , 57 , 31 , 26 , 104 , 47 , 57 , 140 , 69 , 71 , 229 , 100 , 129 , 389 , 178 , 211 , 626 , 269 , 357 , 992 , 462 , 530 ," 1,422 ", 701 , 721 ," 1,507 ", 782 , 725 ," 1,345 ", 706 , 639 ," 1,459 ", 748 , 711 ," 1,378 ", 718 , 660 ," 1,207 ", 722 , 485 ," 1,046 ", 589 , 457 
台中市Taichung City," 7,543 "," 4,125 "," 3,418 ", - , - , - , - , - , - , 2 , 1 , 1 , 5 , 4 , 1 , 9 , 7 , 2 , 41 , 27 , 14 , 98 , 57 , 41 , 141 , 69 , 72 , 243 , 138 , 105 , 421 , 210 , 211 , 694 , 360 , 334 , 974 , 519 , 455 ," 1,109 ", 616 , 493 , 881 , 497 , 384 , 912 , 494 , 418 , 843 , 450 , 393 , 707 , 418 , 289 , 463 , 258 , 205 
台南市Tainan City," 7,468 "," 4,095 "," 3,373 ", - , - , - , - , - , - , 1 , 1 , - , 4 , 2 , 2 , 21 , 12 , 9 , 25 , 12 , 13 , 61 , 34 , 27 , 116 , 57 , 59 , 211 , 106 , 105 , 319 , 175 , 144 , 635 , 337 , 298 , 868 , 479 , 389 , 973 , 556 , 417 , 884 , 504 , 380 ," 1,058 ", 592 , 466 ," 1,013 ", 537 , 476 , 800 , 447 , 353 , 479 , 244 , 235 
高雄市Kaohsiung City," 9,496 "," 5,354 "," 4,142 ", - , - , - , - , - , - , - , - , - , 5 , 3 , 2 , 13 , 5 , 8 , 31 , 19 , 12 , 91 , 49 , 42 , 153 , 67 , 86 , 265 , 135 , 130 , 419 , 218 , 201 , 780 , 426 , 354 ," 1,198 ", 680 , 518 ," 1,407 ", 808 , 599 ," 1,242 ", 704 , 538 ," 1,312 ", 746 , 566 ," 1,149 ", 649 , 500 , 896 , 541 , 355 , 535 , 304 , 231 
宜蘭縣Ilan County," 1,873 "," 1,004 ", 869 , - , - , - , - , - , - , 1 , - , 1 , 1 , 1 , - , 4 , 2 , 2 , 14 , 7 , 7 , 18 , 12 , 6 , 31 , 16 , 15 , 59 , 23 , 36 , 81 , 44 , 37 , 132 , 69 , 63 , 186 , 102 , 84 , 223 , 128 , 95 , 192 , 90 , 102 , 303 , 152 , 151 , 268 , 152 , 116 , 222 , 136 , 86 , 138 , 70 , 68 
