十五大癌症第五位口腔癌--按戶籍縣市別統計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
門、住診合計(包括急診)統計---縣市別*性別年齡五歲組別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
單位：人數,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
縣市別,門、住診合計(包括急診)人數,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,總計,,,0~4歲,,,5~9歲,,,10~14歲,,,15~19歲,,,20~24歲,,,25~29歲,,,30~34歲,,,35~39歲,,,40~44歲,,,45~49歲,,,50~54歲,,,55~59歲,,,60~64歲,,,65~69歲,,,70~74歲,,,75~79歲,,,80~84歲,,,85歲以上,,
,,男,女,,男,女,,男,女,1~4 Years of Age,男,女,5~9 Years of Age,男,女,10~14 Years of Age,男,女,,男,女,20~24 Years of Age,男,女,25~29 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女
,Total,,,0~4 Years of Age,,,5~9 Years of Age,,,10~14 Years of Age,,,15~19 Years of Age,,,20~24 Years of Age,,,25~29 Years of Age,,,30~34 Years of Age,,,35~39 Years of Age,,,40~44 Years of Age,,,45~49 Years of Age,,,50~54 Years of Age,,,55~59 Years of Age,,,60~64 Years of Age,,,65~69 Years of Age,,,70~74 Years of Age,,,75~79 Years of Age,,,80~84 Years of Age,,,Above 85 Years Old,,
,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female
總計Total," 39,657 "," 34,521 "," 5,136 ", 34 , 17 , 17 , 15 , 6 , 9 , 30 , 17 , 13 , 44 , 20 , 24 , 63 , 35 , 28 , 142 , 75 , 67 , 792 , 565 , 227 ," 1,652 "," 1,411 ", 241 ," 3,380 "," 3,035 ", 345 ," 5,220 "," 4,720 ", 500 ," 6,745 "," 6,057 ", 688 ," 6,785 "," 6,112 ", 673 ," 5,558 "," 4,964 ", 594 ," 3,324 "," 2,886 ", 438 ," 2,719 "," 2,229 ", 490 ," 1,666 "," 1,296 ", 370 , 987 , 731 , 256 , 501 , 345 , 156 
新北市New Taipei City," 6,200 "," 4,777 "," 1,423 ", 6 , 1 , 5 , 1 , 1 , - , 2 , 2 , - , 4 , 1 , 3 , 12 , 4 , 8 , 32 , 19 , 13 , 282 , 159 , 123 , 342 , 230 , 112 , 602 , 461 , 141 , 884 , 686 , 198 ," 1,101 ", 873 , 228 ," 1,009 ", 849 , 160 , 773 , 628 , 145 , 485 , 389 , 96 , 311 , 229 , 82 , 169 , 114 , 55 , 116 , 83 , 33 , 69 , 48 , 21 
台北市Taipei City," 2,548 "," 2,022 ", 526 , 4 , 3 , 1 , 1 , 1 , - , - , - , - , 2 , - , 2 , 6 , 3 , 3 , 11 , 5 , 6 , 31 , 22 , 9 , 85 , 58 , 27 , 183 , 153 , 30 , 279 , 235 , 44 , 378 , 316 , 62 , 433 , 363 , 70 , 413 , 347 , 66 , 219 , 164 , 55 , 219 , 166 , 53 , 130 , 90 , 40 , 90 , 56 , 34 , 64 , 40 , 24 
台中市Taichung City," 3,416 "," 3,035 ", 381 , 14 , 6 , 8 , 5 , 2 , 3 , 2 , 1 , 1 , 4 , 2 , 2 , 7 , 1 , 6 , 24 , 12 , 12 , 83 , 67 , 16 , 151 , 134 , 17 , 291 , 272 , 19 , 447 , 410 , 37 , 588 , 549 , 39 , 591 , 538 , 53 , 476 , 421 , 55 , 282 , 247 , 35 , 205 , 175 , 30 , 117 , 91 , 26 , 81 , 69 , 12 , 48 , 38 , 10 
台南市Tainan City," 2,752 "," 2,442 ", 310 , 3 , 2 , 1 , 3 , - , 3 , 1 , 1 , - , 2 , 1 , 1 , 5 , 4 , 1 , 10 , 5 , 5 , 38 , 30 , 8 , 101 , 95 , 6 , 264 , 242 , 22 , 362 , 334 , 28 , 528 , 481 , 47 , 517 , 466 , 51 , 389 , 364 , 25 , 182 , 158 , 24 , 141 , 109 , 32 , 118 , 85 , 33 , 61 , 51 , 10 , 27 , 14 , 13 
高雄市Kaohsiung City," 5,017 "," 4,586 ", 431 , 1 , 1 , - , - , - , - , 5 , 3 , 2 , 10 , 3 , 7 , 4 , 3 , 1 , 13 , 8 , 5 , 57 , 43 , 14 , 220 , 206 , 14 , 435 , 409 , 26 , 624 , 594 , 30 , 883 , 828 , 55 , 976 , 903 , 73 , 757 , 698 , 59 , 435 , 393 , 42 , 302 , 260 , 42 , 174 , 140 , 34 , 89 , 73 , 16 , 32 , 21 , 11 
宜蘭縣Ilan County, 576 , 507 , 69 , - , - , - , - , - , - , 2 , 2 , - , - , - , - , 1 , - , 1 , 1 , - , 1 , 8 , 7 , 1 , 23 , 20 , 3 , 52 , 49 , 3 , 100 , 95 , 5 , 111 , 97 , 14 , 84 , 79 , 5 , 68 , 61 , 7 , 44 , 39 , 5 , 41 , 32 , 9 , 19 , 12 , 7 , 15 , 11 , 4 , 7 , 3 , 4 
