十五大癌症第三位結腸直腸癌--按戶籍縣市別統計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
門、住診合計(包括急診)統計---縣市別*性別年齡五歲組別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
單位：人數,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中華民國九十三年_2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
縣市別,門、住診合計(包括急診)人數,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,總計,,,0~4歲,,,5~9歲,,,10~14歲,,,15~19歲,,,20~24歲,,,25~29歲,,,30~34歲,,,35~39歲,,,40~44歲,,,45~49歲,,,50~54歲,,,55~59歲,,,60~64歲,,,65~69歲,,,70~74歲,,,75~79歲,,,80~84歲,,,85歲以上,,
,,男,女,,男,女,,男,女,1~4 Years of Age,男,女,5~9 Years of Age,男,女,10~14 Years of Age,男,女,,男,女,20~24 Years of Age,男,女,25~29 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女
,Total,,,0~4 Years of Age,,,5~9 Years of Age,,,10~14 Years of Age,,,15~19 Years of Age,,,20~24 Years of Age,,,25~29 Years of Age,,,30~34 Years of Age,,,35~39 Years of Age,,,40~44 Years of Age,,,45~49 Years of Age,,,50~54 Years of Age,,,55~59 Years of Age,,,60~64 Years of Age,,,65~69 Years of Age,,,70~74 Years of Age,,,75~79 Years of Age,,,80~84 Years of Age,,,Above 85 Years Old,,
,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female
總計Total," 56,654 "," 30,886 "," 25,768 ", 5 , 2 , 3 , 11 , 6 , 5 , 18 , 10 , 8 , 141 , 76 , 65 , 415 , 193 , 222 , 724 , 371 , 353 ," 1,043 ", 571 , 472 ," 1,591 ", 818 , 773 ," 2,523 "," 1,260 "," 1,263 "," 3,583 "," 1,787 "," 1,796 "," 5,067 "," 2,499 "," 2,568 "," 4,620 "," 2,397 "," 2,223 "," 6,325 "," 3,322 "," 3,003 "," 7,383 "," 3,984 "," 3,399 "," 8,481 "," 5,011 "," 3,470 "," 7,841 "," 4,761 "," 3,080 "," 4,437 "," 2,553 "," 1,884 "," 2,446 "," 1,265 "," 1,181 "
台北市Taipei City," 8,296 "," 4,434 "," 3,862 ", 1 , - , 1 , - , - , - , 4 , 2 , 2 , 24 , 9 , 15 , 57 , 21 , 36 , 73 , 40 , 33 , 141 , 78 , 63 , 238 , 117 , 121 , 350 , 171 , 179 , 496 , 232 , 264 , 750 , 360 , 390 , 721 , 362 , 359 , 876 , 449 , 427 ," 1,029 ", 531 , 498 ," 1,117 ", 654 , 463 ," 1,218 ", 721 , 497 , 733 , 421 , 312 , 468 , 266 , 202 
台北縣 Taipei County," 7,645 "," 4,130 "," 3,515 ", 2 , 1 , 1 , 4 , 2 , 2 , - , - , - , 18 , 11 , 7 , 69 , 26 , 43 , 115 , 52 , 63 , 172 , 86 , 86 , 259 , 139 , 120 , 427 , 200 , 227 , 620 , 289 , 331 , 831 , 411 , 420 , 713 , 355 , 358 , 886 , 452 , 434 , 860 , 456 , 404 , 989 , 619 , 370 , 887 , 541 , 346 , 517 , 328 , 189 , 276 , 162 , 114 
宜蘭縣Ilan County," 2,936 "," 1,383 "," 1,553 ", 1 , - , 1 , - , - , - , - , - , - , 17 , 8 , 9 , 52 , 21 , 31 , 55 , 23 , 32 , 88 , 45 , 43 , 132 , 51 , 81 , 183 , 80 , 103 , 229 , 91 , 138 , 284 , 100 , 184 , 223 , 89 , 134 , 352 , 167 , 185 , 377 , 197 , 180 , 386 , 215 , 171 , 298 , 175 , 123 , 156 , 79 , 77 , 103 , 42 , 61 
基隆市Keelung City," 1,173 ", 646 , 527 , - , - , - , - , - , - , - , - , - , 4 , 2 , 2 , 11 , 7 , 4 , 10 , 6 , 4 , 19 , 9 , 10 , 31 , 13 , 18 , 55 , 28 , 27 , 81 , 47 , 34 , 98 , 53 , 45 , 85 , 44 , 41 , 118 , 59 , 59 , 153 , 82 , 71 , 171 , 90 , 81 , 197 , 117 , 80 , 92 , 59 , 33 , 48 , 30 , 18 
金門縣Kinmen County, 158 , 94 , 64 , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , 1 , 2 , - , 2 , 5 , 4 , 1 , 3 , 2 , 1 , 8 , 4 , 4 , 10 , 7 , 3 , 13 , 6 , 7 , 14 , 11 , 3 , 11 , 5 , 6 , 20 , 16 , 4 , 29 , 18 , 11 , 24 , 11 , 13 , 9 , 3 , 6 , 9 , 7 , 2 
連江縣Lienchiang County, 18 , 9 , 9 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 2 , 1 , 1 , 3 , 2 , 1 , - , - , - , 1 , - , 1 , 2 , 2 , - , 2 , - , 2 , 4 , 2 , 2 , 2 , 1 , 1 , 1 , 1 , - , 1 , - , 1 
