十五大癌症第一位肺癌--按戶籍縣市別統計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
門、住診合計(包括急診)統計---縣市別*性別年齡五歲組別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
單位：人數,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中華民國九十四年_2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
縣市別,門、住診合計(包括急診)人數,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,總計,,,0~4歲,,,5~9歲,,,10~14歲,,,15~19歲,,,20~24歲,,,25~29歲,,,30~34歲,,,35~39歲,,,40~44歲,,,45~49歲,,,50~54歲,,,55~59歲,,,60~64歲,,,65~69歲,,,70~74歲,,,75~79歲,,,80~84歲,,,85歲以上,,
,,男,女,,男,女,,男,女,1~4 Years of Age,男,女,5~9 Years of Age,男,女,10~14 Years of Age,男,女,,男,女,20~24 Years of Age,男,女,25~29 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女
,Total,,,0~4 Years of Age,,,5~9 Years of Age,,,10~14 Years of Age,,,15~19 Years of Age,,,20~24 Years of Age,,,25~29 Years of Age,,,30~34 Years of Age,,,35~39 Years of Age,,,40~44 Years of Age,,,45~49 Years of Age,,,50~54 Years of Age,,,55~59 Years of Age,,,60~64 Years of Age,,,65~69 Years of Age,,,70~74 Years of Age,,,75~79 Years of Age,,,80~84 Years of Age,,,Above 85 Years Old,,
,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female
總計Total," 30,644 "," 19,365 "," 11,279 ", 7 , 4 , 3 , 3 , 3 , - , 12 , 8 , 4 , 44 , 30 , 14 , 100 , 60 , 40 , 151 , 79 , 72 , 312 , 182 , 130 , 510 , 286 , 224 ," 1,022 ", 566 , 456 ," 1,684 ", 946 , 738 ," 2,344 "," 1,301 "," 1,043 "," 2,419 "," 1,434 ", 985 ," 3,128 "," 1,852 "," 1,276 "," 4,014 "," 2,459 "," 1,555 "," 4,962 "," 3,305 "," 1,657 "," 5,168 "," 3,728 "," 1,440 "," 3,116 "," 2,125 ", 991 ," 1,648 ", 997 , 651 
台北市Taipei City," 4,119 "," 2,433 "," 1,686 ", 1 , - , 1 , - , - , - , 1 , 1 , - , 6 , 3 , 3 , 15 , 6 , 9 , 18 , 8 , 10 , 36 , 20 , 16 , 51 , 25 , 26 , 118 , 61 , 57 , 219 , 114 , 105 , 297 , 151 , 146 , 323 , 162 , 161 , 397 , 203 , 194 , 485 , 280 , 205 , 597 , 364 , 233 , 728 , 500 , 228 , 521 , 346 , 175 , 306 , 189 , 117 
台北縣 Taipei County," 4,118 "," 2,670 "," 1,448 ", 1 , - , 1 , - , - , - , - , - , - , 9 , 6 , 3 , 23 , 14 , 9 , 20 , 9 , 11 , 46 , 20 , 26 , 91 , 51 , 40 , 159 , 76 , 83 , 261 , 141 , 120 , 397 , 213 , 184 , 367 , 228 , 139 , 457 , 285 , 172 , 462 , 301 , 161 , 629 , 447 , 182 , 634 , 478 , 156 , 371 , 279 , 92 , 191 , 122 , 69 
宜蘭縣Ilan County, 793 , 547 , 246 , - , - , - , - , - , - , - , - , - , - , - , - , 1 , 1 , - , 2 , 1 , 1 , 5 , 1 , 4 , 9 , 8 , 1 , 19 , 11 , 8 , 23 , 16 , 7 , 52 , 29 , 23 , 69 , 43 , 26 , 81 , 56 , 25 , 133 , 90 , 43 , 151 , 113 , 38 , 125 , 88 , 37 , 71 , 53 , 18 , 52 , 37 , 15 
基隆市Keelung City, 627 , 393 , 234 , - , - , - , - , - , - , - , - , - , 2 , 1 , 1 , - , - , - , 2 , 1 , 1 , 5 , 3 , 2 , 9 , 5 , 4 , 33 , 14 , 19 , 33 , 21 , 12 , 43 , 30 , 13 , 56 , 36 , 20 , 64 , 36 , 28 , 68 , 45 , 23 , 108 , 64 , 44 , 108 , 76 , 32 , 67 , 47 , 20 , 29 , 14 , 15 
金門縣Kinmen County, 134 , 92 , 42 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , 1 , - , - , - , 1 , 1 , - , 6 , 6 , - , 5 , 1 , 4 , 11 , 5 , 6 , 12 , 9 , 3 , 11 , 6 , 5 , 17 , 14 , 3 , 32 , 22 , 10 , 17 , 12 , 5 , 14 , 10 , 4 , 7 , 6 , 1 
連江縣Lienchiang County, 9 , 4 , 5 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , 1 , 2 , 1 , 1 , - , - , - , - , - , - , - , - , - , 2 , 1 , 1 , 2 , 2 , - , 1 , - , 1 , 1 , - , 1 
