十五大癌症第十位胰臟癌--按戶籍縣市別統計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
門、住診合計(包括急診)統計---縣市別*性別年齡五歲組別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
單位：人數,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中華民國九十四年_2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
縣市別,門、住診合計(包括急診)人數,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,總計,,,0~4歲,,,5~9歲,,,10~14歲,,,15~19歲,,,20~24歲,,,25~29歲,,,30~34歲,,,35~39歲,,,40~44歲,,,45~49歲,,,50~54歲,,,55~59歲,,,60~64歲,,,65~69歲,,,70~74歲,,,75~79歲,,,80~84歲,,,85歲以上,,
,,男,女,,男,女,,男,女,1~4 Years of Age,男,女,5~9 Years of Age,男,女,10~14 Years of Age,男,女,,男,女,20~24 Years of Age,男,女,25~29 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女
,Total,,,0~4 Years of Age,,,5~9 Years of Age,,,10~14 Years of Age,,,15~19 Years of Age,,,20~24 Years of Age,,,25~29 Years of Age,,,30~34 Years of Age,,,35~39 Years of Age,,,40~44 Years of Age,,,45~49 Years of Age,,,50~54 Years of Age,,,55~59 Years of Age,,,60~64 Years of Age,,,65~69 Years of Age,,,70~74 Years of Age,,,75~79 Years of Age,,,80~84 Years of Age,,,Above 85 Years Old,,
,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female
總計Total," 5,027 "," 2,729 "," 2,298 ", 1 , - , 1 , 2 , 2 , - , 4 , 3 , 1 , 9 , 4 , 5 , 25 , 7 , 18 , 82 , 26 , 56 , 108 , 57 , 51 , 163 , 86 , 77 , 273 , 139 , 134 , 385 , 204 , 181 , 469 , 253 , 216 , 541 , 291 , 250 , 493 , 273 , 220 , 572 , 316 , 256 , 676 , 369 , 307 , 662 , 405 , 257 , 349 , 195 , 154 , 213 , 99 , 114 
台北市Taipei City, 777 , 408 , 369 , 1 , - , 1 , - , - , - , 2 , 2 , - , 3 , 2 , 1 , 2 , 1 , 1 , 10 , 4 , 6 , 11 , 6 , 5 , 29 , 15 , 14 , 44 , 17 , 27 , 59 , 31 , 28 , 70 , 34 , 36 , 89 , 42 , 47 , 52 , 26 , 26 , 91 , 43 , 48 , 92 , 49 , 43 , 111 , 72 , 39 , 62 , 38 , 24 , 49 , 26 , 23 
台北縣 Taipei County, 742 , 394 , 348 , - , - , - , - , - , - , 1 , - , 1 , 2 , 1 , 1 , 4 , 1 , 3 , 11 , 4 , 7 , 12 , 7 , 5 , 26 , 17 , 9 , 47 , 18 , 29 , 75 , 32 , 43 , 75 , 49 , 26 , 91 , 46 , 45 , 73 , 42 , 31 , 72 , 43 , 29 , 83 , 42 , 41 , 85 , 46 , 39 , 50 , 31 , 19 , 35 , 15 , 20 
宜蘭縣Ilan County, 125 , 77 , 48 , - , - , - , - , - , - , - , - , - , - , - , - , 3 , 1 , 2 , 1 , - , 1 , 1 , 1 , - , 2 , 1 , 1 , 4 , 1 , 3 , 10 , 6 , 4 , 10 , 6 , 4 , 11 , 9 , 2 , 12 , 6 , 6 , 17 , 11 , 6 , 20 , 11 , 9 , 18 , 12 , 6 , 13 , 9 , 4 , 3 , 3 , - 
基隆市Keelung City, 85 , 39 , 46 , - , - , - , - , - , - , - , - , - , 1 , 1 , - , 1 , 1 , - , 1 , - , 1 , 5 , 4 , 1 , 3 , - , 3 , 6 , 2 , 4 , 6 , - , 6 , 9 , 3 , 6 , 3 , 2 , 1 , 11 , 9 , 2 , 10 , 2 , 8 , 11 , 5 , 6 , 12 , 6 , 6 , 5 , 3 , 2 , 1 , 1 , - 
金門縣Kinmen County, 22 , 13 , 9 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , 1 , 1 , 1 , - , - , - , - , - , - , - , 3 , 2 , 1 , 6 , 2 , 4 , 1 , - , 1 , 3 , 3 , - , 3 , 2 , 1 , 2 , 2 , - , 2 , 1 , 1 , - , - , - 
連江縣Lienchiang County, 5 , 4 , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , 1 , - , - , - , - , - , - , - , - , - , 2 , 2 , - , - , - , - , - , - , - , 1 , 1 , - , - , - , - , 1 , 1 , - , - , - , - , - , - , - 
