十五大癌症第十一位非何杰金氏淋巴瘤--按戶籍縣市別統計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
門、住診合計(包括急診)統計---縣市別*性別年齡五歲組別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
單位：人數,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中華民國九十四年_2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
縣市別,門、住診合計(包括急診)人數,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,總計,,,0~4歲,,,5~9歲,,,10~14歲,,,15~19歲,,,20~24歲,,,25~29歲,,,30~34歲,,,35~39歲,,,40~44歲,,,45~49歲,,,50~54歲,,,55~59歲,,,60~64歲,,,65~69歲,,,70~74歲,,,75~79歲,,,80~84歲,,,85歲以上,,
,,男,女,,男,女,,男,女,1~4 Years of Age,男,女,5~9 Years of Age,男,女,10~14 Years of Age,男,女,,男,女,20~24 Years of Age,男,女,25~29 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女
,Total,,,0~4 Years of Age,,,5~9 Years of Age,,,10~14 Years of Age,,,15~19 Years of Age,,,20~24 Years of Age,,,25~29 Years of Age,,,30~34 Years of Age,,,35~39 Years of Age,,,40~44 Years of Age,,,45~49 Years of Age,,,50~54 Years of Age,,,55~59 Years of Age,,,60~64 Years of Age,,,65~69 Years of Age,,,70~74 Years of Age,,,75~79 Years of Age,,,80~84 Years of Age,,,Above 85 Years Old,,
,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female
總計Total," 12,001 "," 6,715 "," 5,286 ", 107 , 62 , 45 , 199 , 120 , 79 , 220 , 151 , 69 , 262 , 148 , 114 , 371 , 207 , 164 , 400 , 200 , 200 , 448 , 242 , 206 , 518 , 259 , 259 , 743 , 393 , 350 , 959 , 507 , 452 ," 1,114 ", 578 , 536 , 946 , 502 , 444 ," 1,026 ", 538 , 488 ," 1,242 ", 668 , 574 ," 1,262 ", 751 , 511 ," 1,183 ", 753 , 430 , 664 , 417 , 247 , 337 , 219 , 118 
台北市Taipei City," 1,911 "," 1,056 ", 855 , 16 , 12 , 4 , 24 , 14 , 10 , 27 , 18 , 9 , 31 , 13 , 18 , 42 , 28 , 14 , 55 , 32 , 23 , 61 , 29 , 32 , 78 , 34 , 44 , 114 , 52 , 62 , 122 , 55 , 67 , 189 , 97 , 92 , 137 , 63 , 74 , 151 , 88 , 63 , 186 , 99 , 87 , 212 , 127 , 85 , 239 , 148 , 91 , 141 , 90 , 51 , 86 , 57 , 29 
台北縣 Taipei County," 1,860 ", 999 , 861 , 18 , 8 , 10 , 29 , 19 , 10 , 38 , 24 , 14 , 45 , 23 , 22 , 70 , 34 , 36 , 71 , 36 , 35 , 71 , 41 , 30 , 90 , 32 , 58 , 126 , 58 , 68 , 169 , 90 , 79 , 196 , 105 , 91 , 177 , 99 , 78 , 162 , 76 , 86 , 173 , 85 , 88 , 148 , 84 , 64 , 147 , 101 , 46 , 91 , 60 , 31 , 39 , 24 , 15 
宜蘭縣Ilan County, 247 , 141 , 106 , 2 , 1 , 1 , 5 , 3 , 2 , 5 , 3 , 2 , 6 , 2 , 4 , 6 , 2 , 4 , 11 , 5 , 6 , 10 , 4 , 6 , 5 , 2 , 3 , 3 , 1 , 2 , 13 , 9 , 4 , 20 , 8 , 12 , 19 , 13 , 6 , 31 , 16 , 15 , 26 , 18 , 8 , 34 , 18 , 16 , 30 , 22 , 8 , 13 , 8 , 5 , 8 , 6 , 2 
基隆市Keelung City, 215 , 121 , 94 , 4 , 3 , 1 , 4 , 3 , 1 , 4 , 4 , - , 10 , 4 , 6 , 7 , 6 , 1 , 5 , 2 , 3 , 8 , 3 , 5 , 6 , 3 , 3 , 6 , 1 , 5 , 21 , 10 , 11 , 19 , 12 , 7 , 19 , 10 , 9 , 26 , 16 , 10 , 16 , 11 , 5 , 23 , 13 , 10 , 23 , 12 , 11 , 10 , 6 , 4 , 4 , 2 , 2 
金門縣Kinmen County, 43 , 26 , 17 , - , - , - , - , - , - , - , - , - , 1 , 1 , - , 3 , 2 , 1 , 2 , - , 2 , 1 , 1 , - , 3 , 3 , - , 1 , - , 1 , 5 , 3 , 2 , 3 , 2 , 1 , 3 , 1 , 2 , 4 , 2 , 2 , 6 , 4 , 2 , 6 , 3 , 3 , 3 , 2 , 1 , 1 , 1 , - , 1 , 1 , - 
連江縣Lienchiang County, 5 , 2 , 3 , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , 1 , - , - , - , - , - , - , 1 , - , 1 , - , - , - , - , - , - , 1 , 1 , - , 1 , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , 1 , 1 , - , - , - , - 
