十五大癌症第十四位鼻咽癌--按戶籍縣市別統計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
門、住診合計(包括急診)統計---縣市別*性別年齡五歲組別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
單位：人數,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中華民國九十四年_2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
縣市別,門、住診合計(包括急診)人數,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,總計,,,0~4歲,,,5~9歲,,,10~14歲,,,15~19歲,,,20~24歲,,,25~29歲,,,30~34歲,,,35~39歲,,,40~44歲,,,45~49歲,,,50~54歲,,,55~59歲,,,60~64歲,,,65~69歲,,,70~74歲,,,75~79歲,,,80~84歲,,,85歲以上,,
,,男,女,,男,女,,男,女,1~4 Years of Age,男,女,5~9 Years of Age,男,女,10~14 Years of Age,男,女,,男,女,20~24 Years of Age,男,女,25~29 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女
,Total,,,0~4 Years of Age,,,5~9 Years of Age,,,10~14 Years of Age,,,15~19 Years of Age,,,20~24 Years of Age,,,25~29 Years of Age,,,30~34 Years of Age,,,35~39 Years of Age,,,40~44 Years of Age,,,45~49 Years of Age,,,50~54 Years of Age,,,55~59 Years of Age,,,60~64 Years of Age,,,65~69 Years of Age,,,70~74 Years of Age,,,75~79 Years of Age,,,80~84 Years of Age,,,Above 85 Years Old,,
,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female
總計Total," 17,424 "," 11,752 "," 5,672 ", 5 , 4 , 1 , 25 , 18 , 7 , 58 , 35 , 23 , 158 , 109 , 49 , 283 , 181 , 102 , 558 , 354 , 204 , 767 , 484 , 283 ," 1,281 ", 854 , 427 ," 2,108 "," 1,425 ", 683 ," 2,588 "," 1,772 ", 816 ," 2,783 "," 1,920 ", 863 ," 1,984 "," 1,329 ", 655 ," 1,615 "," 1,097 ", 518 ," 1,365 ", 883 , 482 , 912 , 622 , 290 , 633 , 452 , 181 , 230 , 166 , 64 , 71 , 47 , 24 
台北市Taipei City," 2,175 "," 1,401 ", 774 , - , - , - , 1 , 1 , - , 6 , 5 , 1 , 11 , 9 , 2 , 26 , 17 , 9 , 43 , 24 , 19 , 62 , 40 , 22 , 136 , 86 , 50 , 250 , 157 , 93 , 301 , 185 , 116 , 385 , 245 , 140 , 276 , 175 , 101 , 223 , 146 , 77 , 176 , 108 , 68 , 115 , 82 , 33 , 101 , 73 , 28 , 49 , 36 , 13 , 14 , 12 , 2 
台北縣 Taipei County," 2,626 "," 1,728 ", 898 , 1 , 1 , - , 2 , 2 , - , 5 , 1 , 4 , 13 , 11 , 2 , 34 , 18 , 16 , 64 , 43 , 21 , 93 , 53 , 40 , 188 , 122 , 66 , 339 , 220 , 119 , 474 , 320 , 154 , 447 , 298 , 149 , 340 , 231 , 109 , 225 , 146 , 79 , 178 , 111 , 67 , 102 , 69 , 33 , 76 , 50 , 26 , 38 , 27 , 11 , 7 , 5 , 2 
宜蘭縣Ilan County, 364 , 256 , 108 , - , - , - , 1 , 1 , - , - , - , - , 2 , 1 , 1 , 3 , 3 , - , 1 , 1 , - , 7 , 3 , 4 , 29 , 16 , 13 , 42 , 32 , 10 , 45 , 29 , 16 , 48 , 35 , 13 , 31 , 25 , 6 , 48 , 35 , 13 , 51 , 36 , 15 , 34 , 24 , 10 , 12 , 10 , 2 , 7 , 3 , 4 , 3 , 2 , 1 
基隆市Keelung City, 298 , 193 , 105 , - , - , - , 1 , 1 , - , - , - , - , 2 , 1 , 1 , 5 , 5 , - , 10 , 6 , 4 , 12 , 7 , 5 , 14 , 6 , 8 , 41 , 26 , 15 , 41 , 28 , 13 , 40 , 28 , 12 , 35 , 20 , 15 , 35 , 26 , 9 , 25 , 13 , 12 , 19 , 12 , 7 , 7 , 6 , 1 , 9 , 7 , 2 , 2 , 1 , 1 
金門縣Kinmen County, 66 , 53 , 13 , - , - , - , - , - , - , - , - , - , 1 , 1 , - , 1 , 1 , - , 1 , - , 1 , 5 , 5 , - , 2 , 1 , 1 , 13 , 11 , 2 , 10 , 7 , 3 , 8 , 7 , 1 , 8 , 5 , 3 , 7 , 7 , - , 5 , 4 , 1 , 2 , 1 , 1 , 1 , 1 , - , 2 , 2 , - , - , - , - 
連江縣Lienchiang County, 15 , 11 , 4 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , 1 , 2 , 2 , - , 1 , - , 1 , 3 , 2 , 1 , 3 , 3 , - , 3 , 2 , 1 , 1 , 1 , - , - , - , - , - , - , - , - , - , - , 1 , 1 , - , - , - , - 
