十五大癌症第一位肺癌--按戶籍縣市別統計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
門、住診合計(包括急診)統計---縣市別*性別年齡五歲組別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
單位：人數,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中華民國九十五年_2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
縣市別,門、住診合計(包括急診)人數,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,總計,,,0~4歲,,,5~9歲,,,10~14歲,,,15~19歲,,,20~24歲,,,25~29歲,,,30~34歲,,,35~39歲,,,40~44歲,,,45~49歲,,,50~54歲,,,55~59歲,,,60~64歲,,,65~69歲,,,70~74歲,,,75~79歲,,,80~84歲,,,85歲以上,,
,,男,女,,男,女,,男,女,1~4 Years of Age,男,女,5~9 Years of Age,男,女,10~14 Years of Age,男,女,,男,女,20~24 Years of Age,男,女,25~29 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女
,Total,,,0~4 Years of Age,,,5~9 Years of Age,,,10~14 Years of Age,,,15~19 Years of Age,,,20~24 Years of Age,,,25~29 Years of Age,,,30~34 Years of Age,,,35~39 Years of Age,,,40~44 Years of Age,,,45~49 Years of Age,,,50~54 Years of Age,,,55~59 Years of Age,,,60~64 Years of Age,,,65~69 Years of Age,,,70~74 Years of Age,,,75~79 Years of Age,,,80~84 Years of Age,,,Above 85 Years Old,,
,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female
總計Total," 31,796 "," 19,863 "," 11,933 ", 5 , 2 , 3 , 3 , 2 , 1 , 9 , 5 , 4 , 35 , 25 , 10 , 73 , 48 , 25 , 154 , 89 , 65 , 255 , 131 , 124 , 483 , 266 , 217 ," 1,106 ", 599 , 507 ," 1,756 ", 995 , 761 ," 2,589 "," 1,413 "," 1,176 "," 2,840 "," 1,641 "," 1,199 "," 3,000 "," 1,817 "," 1,183 "," 4,170 "," 2,527 "," 1,643 "," 4,820 "," 3,136 "," 1,684 "," 5,230 "," 3,689 "," 1,541 "," 3,380 "," 2,321 "," 1,059 "," 1,888 "," 1,157 ", 731 
台北市Taipei City," 4,395 "," 2,565 "," 1,830 ", - , - , - , 1 , 1 , - , 2 , 1 , 1 , 7 , 5 , 2 , 5 , 5 , - , 14 , 7 , 7 , 41 , 21 , 20 , 53 , 29 , 24 , 109 , 47 , 62 , 233 , 119 , 114 , 317 , 139 , 178 , 376 , 194 , 182 , 393 , 215 , 178 , 494 , 265 , 229 , 629 , 370 , 259 , 773 , 515 , 258 , 579 , 394 , 185 , 369 , 238 , 131 
台北縣 Taipei County," 4,326 "," 2,723 "," 1,603 ", 1 , 1 , - , - , - , - , - , - , - , 3 , 1 , 2 , 8 , 8 , - , 28 , 19 , 9 , 42 , 18 , 24 , 78 , 39 , 39 , 174 , 87 , 87 , 292 , 160 , 132 , 437 , 237 , 200 , 449 , 268 , 181 , 437 , 276 , 161 , 538 , 327 , 211 , 563 , 378 , 185 , 624 , 461 , 163 , 406 , 295 , 111 , 246 , 148 , 98 
宜蘭縣Ilan County, 897 , 604 , 293 , - , - , - , - , - , - , - , - , - , - , - , - , 2 , 1 , 1 , 2 , 2 , - , 5 , 2 , 3 , 10 , 5 , 5 , 28 , 15 , 13 , 22 , 11 , 11 , 71 , 40 , 31 , 68 , 41 , 27 , 88 , 53 , 35 , 129 , 91 , 38 , 183 , 127 , 56 , 133 , 97 , 36 , 98 , 80 , 18 , 58 , 39 , 19 
基隆市Keelung City, 676 , 425 , 251 , - , - , - , - , - , - , - , - , - , - , - , - , 2 , - , 2 , 2 , 2 , - , 4 , 1 , 3 , 14 , 7 , 7 , 32 , 16 , 16 , 42 , 26 , 16 , 47 , 27 , 20 , 57 , 30 , 27 , 67 , 44 , 23 , 84 , 49 , 35 , 102 , 68 , 34 , 118 , 78 , 40 , 64 , 45 , 19 , 41 , 32 , 9 
金門縣Kinmen County, 145 , 104 , 41 , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , 1 , 1 , 1 , - , 1 , 1 , - , 3 , 2 , 1 , 5 , 3 , 2 , 6 , 4 , 2 , 8 , 4 , 4 , 9 , 6 , 3 , 14 , 9 , 5 , 23 , 18 , 5 , 27 , 22 , 5 , 18 , 14 , 4 , 18 , 11 , 7 , 11 , 9 , 2 
連江縣Lienchiang County, 12 , 7 , 5 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , 1 , 1 , - , 1 , 2 , 2 , - , 2 , 2 , - , 3 , 1 , 2 , 2 , 2 , - , - , - , - , 1 , - , 1 
