十五大癌症第十三位白血病--按戶籍縣市別統計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
門、住診合計(包括急診)統計---縣市別*性別年齡五歲組別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
單位：人數,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中華民國九十五年_2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
縣市別,門、住診合計(包括急診)人數,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,總計,,,0~4歲,,,5~9歲,,,10~14歲,,,15~19歲,,,20~24歲,,,25~29歲,,,30~34歲,,,35~39歲,,,40~44歲,,,45~49歲,,,50~54歲,,,55~59歲,,,60~64歲,,,65~69歲,,,70~74歲,,,75~79歲,,,80~84歲,,,85歲以上,,
,,男,女,,男,女,,男,女,1~4 Years of Age,男,女,5~9 Years of Age,男,女,10~14 Years of Age,男,女,,男,女,20~24 Years of Age,男,女,25~29 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女
,Total,,,0~4 Years of Age,,,5~9 Years of Age,,,10~14 Years of Age,,,15~19 Years of Age,,,20~24 Years of Age,,,25~29 Years of Age,,,30~34 Years of Age,,,35~39 Years of Age,,,40~44 Years of Age,,,45~49 Years of Age,,,50~54 Years of Age,,,55~59 Years of Age,,,60~64 Years of Age,,,65~69 Years of Age,,,70~74 Years of Age,,,75~79 Years of Age,,,80~84 Years of Age,,,Above 85 Years Old,,
,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female
總計Total," 7,636 "," 4,163 "," 3,473 ", 268 , 158 , 110 , 535 , 302 , 233 , 540 , 301 , 239 , 457 , 253 , 204 , 406 , 226 , 180 , 367 , 192 , 175 , 299 , 152 , 147 , 369 , 174 , 195 , 418 , 223 , 195 , 485 , 228 , 257 , 537 , 289 , 248 , 487 , 247 , 240 , 448 , 238 , 210 , 501 , 261 , 240 , 471 , 256 , 215 , 534 , 342 , 192 , 355 , 217 , 138 , 159 , 104 , 55 
台北市Taipei City," 1,054 ", 608 , 446 , 33 , 21 , 12 , 78 , 44 , 34 , 68 , 45 , 23 , 62 , 43 , 19 , 48 , 33 , 15 , 51 , 30 , 21 , 33 , 16 , 17 , 32 , 12 , 20 , 54 , 28 , 26 , 65 , 27 , 38 , 66 , 30 , 36 , 64 , 34 , 30 , 66 , 36 , 30 , 67 , 38 , 29 , 76 , 42 , 34 , 90 , 64 , 26 , 59 , 36 , 23 , 42 , 29 , 13 
台北縣 Taipei County," 1,149 ", 622 , 527 , 30 , 16 , 14 , 84 , 47 , 37 , 98 , 54 , 44 , 67 , 35 , 32 , 63 , 35 , 28 , 52 , 25 , 27 , 50 , 26 , 24 , 54 , 28 , 26 , 82 , 41 , 41 , 90 , 44 , 46 , 89 , 53 , 36 , 90 , 47 , 43 , 59 , 24 , 35 , 63 , 39 , 24 , 62 , 31 , 31 , 56 , 35 , 21 , 43 , 31 , 12 , 17 , 11 , 6 
宜蘭縣Ilan County, 163 , 98 , 65 , 5 , 5 , - , 13 , 8 , 5 , 8 , 5 , 3 , 5 , 2 , 3 , 9 , 6 , 3 , 4 , 2 , 2 , 2 , 2 , - , 12 , 5 , 7 , 8 , 6 , 2 , 5 , 2 , 3 , 13 , 7 , 6 , 10 , 5 , 5 , 3 , 3 , - , 15 , 6 , 9 , 17 , 10 , 7 , 16 , 13 , 3 , 11 , 6 , 5 , 7 , 5 , 2 
基隆市Keelung City, 97 , 52 , 45 , 3 , - , 3 , 9 , 3 , 6 , 10 , 6 , 4 , 2 , 1 , 1 , 4 , 3 , 1 , 3 , 2 , 1 , 3 , 1 , 2 , 9 , 6 , 3 , 7 , 4 , 3 , 4 , 1 , 3 , 8 , 6 , 2 , 3 , 3 , - , 4 , 2 , 2 , 5 , 1 , 4 , 6 , 4 , 2 , 8 , 4 , 4 , 6 , 3 , 3 , 3 , 2 , 1 
金門縣Kinmen County, 35 , 17 , 18 , - , - , - , - , - , - , 1 , 1 , - , 1 , - , 1 , 1 , 1 , - , 2 , 1 , 1 , - , - , - , 1 , 1 , - , 1 , - , 1 , 6 , 3 , 3 , 2 , - , 2 , 2 , - , 2 , 2 , 1 , 1 , 4 , 3 , 1 , 5 , 1 , 4 , 3 , 3 , - , 2 , 2 , - , 2 , - , 2 
連江縣Lienchiang County, 2 , 1 , 1 , - , - , - , 1 , 1 , - , 1 , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
