十五大癌症第三位結腸直腸癌--按戶籍縣市別統計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
門、住診合計(包括急診)統計---縣市別*性別年齡五歲組別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
單位：人數,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中華民國九十五年_2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
縣市別,門、住診合計(包括急診)人數,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,總計,,,0~4歲,,,5~9歲,,,10~14歲,,,15~19歲,,,20~24歲,,,25~29歲,,,30~34歲,,,35~39歲,,,40~44歲,,,45~49歲,,,50~54歲,,,55~59歲,,,60~64歲,,,65~69歲,,,70~74歲,,,75~79歲,,,80~84歲,,,85歲以上,,
,,男,女,,男,女,,男,女,1~4 Years of Age,男,女,5~9 Years of Age,男,女,10~14 Years of Age,男,女,,男,女,20~24 Years of Age,男,女,25~29 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女
,Total,,,0~4 Years of Age,,,5~9 Years of Age,,,10~14 Years of Age,,,15~19 Years of Age,,,20~24 Years of Age,,,25~29 Years of Age,,,30~34 Years of Age,,,35~39 Years of Age,,,40~44 Years of Age,,,45~49 Years of Age,,,50~54 Years of Age,,,55~59 Years of Age,,,60~64 Years of Age,,,65~69 Years of Age,,,70~74 Years of Age,,,75~79 Years of Age,,,80~84 Years of Age,,,Above 85 Years Old,,
,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female
總計Total," 62,438 "," 33,943 "," 28,495 ", 6 , 4 , 2 , 2 , 1 , 1 , 16 , 6 , 10 , 113 , 56 , 57 , 358 , 177 , 181 , 752 , 372 , 380 ," 1,028 ", 515 , 513 ," 1,484 ", 771 , 713 ," 2,554 "," 1,301 "," 1,253 "," 3,697 "," 1,834 "," 1,863 "," 5,699 "," 2,803 "," 2,896 "," 5,941 "," 3,054 "," 2,887 "," 6,229 "," 3,347 "," 2,882 "," 8,171 "," 4,434 "," 3,737 "," 8,810 "," 4,949 "," 3,861 "," 8,869 "," 5,394 "," 3,475 "," 5,655 "," 3,306 "," 2,349 "," 3,054 "," 1,619 "," 1,435 "
台北市Taipei City," 9,237 "," 4,874 "," 4,363 ", 1 , - , 1 , - , - , - , 1 , 1 , - , 15 , 7 , 8 , 47 , 22 , 25 , 86 , 35 , 51 , 119 , 54 , 65 , 212 , 107 , 105 , 349 , 167 , 182 , 514 , 234 , 280 , 901 , 416 , 485 , 916 , 450 , 466 , 895 , 457 , 438 ," 1,084 ", 549 , 535 ," 1,260 ", 703 , 557 ," 1,259 ", 766 , 493 , 983 , 576 , 407 , 595 , 330 , 265 
台北縣 Taipei County," 8,345 "," 4,516 "," 3,829 ", 1 , 1 , - , 1 , 1 , - , - , - , - , 18 , 7 , 11 , 32 , 18 , 14 , 115 , 59 , 56 , 182 , 99 , 83 , 227 , 114 , 113 , 383 , 197 , 186 , 607 , 270 , 337 , 921 , 440 , 481 , 877 , 430 , 447 , 919 , 473 , 446 , 990 , 542 , 448 ," 1,034 ", 594 , 440 ," 1,035 ", 658 , 377 , 638 , 407 , 231 , 365 , 206 , 159 
宜蘭縣Ilan County," 3,156 "," 1,345 "," 1,811 ", - , - , - , - , - , - , 1 , - , 1 , 15 , 3 , 12 , 72 , 23 , 49 , 102 , 24 , 78 , 114 , 30 , 84 , 137 , 51 , 86 , 193 , 61 , 132 , 280 , 97 , 183 , 315 , 113 , 202 , 271 , 109 , 162 , 284 , 123 , 161 , 397 , 212 , 185 , 379 , 189 , 190 , 318 , 177 , 141 , 186 , 90 , 96 , 92 , 43 , 49 
基隆市Keelung City," 1,148 ", 602 , 546 , - , - , - , - , - , - , - , - , - , 1 , 1 , - , 7 , 4 , 3 , 9 , 2 , 7 , 18 , 11 , 7 , 27 , 17 , 10 , 53 , 25 , 28 , 50 , 21 , 29 , 104 , 50 , 54 , 111 , 59 , 52 , 103 , 52 , 51 , 155 , 79 , 76 , 149 , 69 , 80 , 185 , 105 , 80 , 123 , 76 , 47 , 53 , 31 , 22 
金門縣Kinmen County, 236 , 141 , 95 , - , - , - , - , - , - , - , - , - , 1 , 1 , - , 1 , - , 1 , 2 , 1 , 1 , 3 , 2 , 1 , 6 , 2 , 4 , 11 , 6 , 5 , 21 , 13 , 8 , 23 , 11 , 12 , 23 , 17 , 6 , 29 , 22 , 7 , 34 , 22 , 12 , 39 , 26 , 13 , 18 , 7 , 11 , 10 , 4 , 6 , 15 , 7 , 8 
連江縣Lienchiang County, 31 , 21 , 10 , - , - , - , - , - , - , 1 , - , 1 , - , - , - , 1 , - , 1 , - , - , - , - , - , - , - , - , - , 3 , 3 , - , 3 , 3 , - , 1 , - , 1 , 6 , 5 , 1 , 3 , 3 , - , 4 , 2 , 2 , 3 , 1 , 2 , 5 , 3 , 2 , 1 , 1 , - , - , - , - 
