十五大癌症第六位口腔癌--按戶籍縣市別統計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
門、住診合計(包括急診)統計---縣市別*性別年齡五歲組別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
單位：人數,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中華民國九十五年_2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
縣市別,門、住診合計(包括急診)人數,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,總計,,,0~4歲,,,5~9歲,,,10~14歲,,,15~19歲,,,20~24歲,,,25~29歲,,,30~34歲,,,35~39歲,,,40~44歲,,,45~49歲,,,50~54歲,,,55~59歲,,,60~64歲,,,65~69歲,,,70~74歲,,,75~79歲,,,80~84歲,,,85歲以上,,
,,男,女,,男,女,,男,女,1~4 Years of Age,男,女,5~9 Years of Age,男,女,10~14 Years of Age,男,女,,男,女,20~24 Years of Age,男,女,25~29 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女
,Total,,,0~4 Years of Age,,,5~9 Years of Age,,,10~14 Years of Age,,,15~19 Years of Age,,,20~24 Years of Age,,,25~29 Years of Age,,,30~34 Years of Age,,,35~39 Years of Age,,,40~44 Years of Age,,,45~49 Years of Age,,,50~54 Years of Age,,,55~59 Years of Age,,,60~64 Years of Age,,,65~69 Years of Age,,,70~74 Years of Age,,,75~79 Years of Age,,,80~84 Years of Age,,,Above 85 Years Old,,
,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female
總計Total," 24,362 "," 21,336 "," 3,026 ", 26 , 15 , 11 , 22 , 15 , 7 , 22 , 15 , 7 , 34 , 18 , 16 , 82 , 50 , 32 , 174 , 116 , 58 , 563 , 481 , 82 ," 1,331 "," 1,201 ", 130 ," 2,567 "," 2,360 ", 207 ," 3,610 "," 3,290 ", 320 ," 4,249 "," 3,862 ", 387 ," 3,384 "," 3,011 ", 373 ," 2,518 "," 2,219 ", 299 ," 2,206 "," 1,891 ", 315 ," 1,632 "," 1,334 ", 298 ," 1,182 ", 911 , 271 , 516 , 382 , 134 , 244 , 165 , 79 
台北市Taipei City," 1,923 "," 1,540 ", 383 , 4 , 3 , 1 , 6 , 5 , 1 , 3 , 3 , - , 5 , 3 , 2 , 5 , 3 , 2 , 14 , 8 , 6 , 31 , 22 , 9 , 91 , 69 , 22 , 157 , 131 , 26 , 256 , 222 , 34 , 335 , 281 , 54 , 256 , 206 , 50 , 176 , 141 , 35 , 188 , 146 , 42 , 151 , 121 , 30 , 135 , 98 , 37 , 69 , 48 , 21 , 41 , 30 , 11 
台北縣 Taipei County," 3,157 "," 2,730 ", 427 , 1 , 1 , - , 3 , 3 , - , 6 , 5 , 1 , 5 , 3 , 2 , 14 , 3 , 11 , 30 , 20 , 10 , 73 , 59 , 14 , 183 , 167 , 16 , 355 , 315 , 40 , 490 , 432 , 58 , 605 , 550 , 55 , 473 , 408 , 65 , 337 , 289 , 48 , 220 , 189 , 31 , 173 , 137 , 36 , 110 , 88 , 22 , 52 , 42 , 10 , 27 , 19 , 8 
宜蘭縣Ilan County, 401 , 332 , 69 , 1 , - , 1 , - , - , - , 1 , - , 1 , 2 , 1 , 1 , 3 , 3 , - , 7 , 6 , 1 , 10 , 5 , 5 , 28 , 26 , 2 , 42 , 39 , 3 , 46 , 38 , 8 , 60 , 51 , 9 , 40 , 33 , 7 , 51 , 39 , 12 , 48 , 42 , 6 , 24 , 20 , 4 , 17 , 13 , 4 , 14 , 11 , 3 , 7 , 5 , 2 
基隆市Keelung City, 320 , 263 , 57 , 1 , 1 , - , - , - , - , - , - , - , 1 , - , 1 , 4 , 2 , 2 , - , - , - , 2 , 1 , 1 , 13 , 11 , 2 , 43 , 36 , 7 , 39 , 36 , 3 , 52 , 41 , 11 , 49 , 39 , 10 , 29 , 25 , 4 , 31 , 28 , 3 , 26 , 22 , 4 , 15 , 10 , 5 , 12 , 9 , 3 , 3 , 2 , 1 
金門縣Kinmen County, 45 , 37 , 8 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , 1 , - , 4 , 3 , 1 , 5 , 3 , 2 , 9 , 7 , 2 , 7 , 7 , - , 8 , 8 , - , 2 , 2 , - , 5 , 4 , 1 , 2 , - , 2 , - , - , - , 2 , 2 , - 
連江縣Lienchiang County, 5 , 4 , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 2 , 1 , 1 , - , - , - , 1 , 1 , - , 1 , 1 , - , - , - , - , 1 , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
