十五大癌症第七位攝護腺癌--按戶籍縣市別統計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
門、住診合計(包括急診)統計---縣市別*性別年齡五歲組別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
單位：人數,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中華民國九十五年_2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
縣市別,門、住診合計(包括急診)人數,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,總計,,,0~4歲,,,5~9歲,,,10~14歲,,,15~19歲,,,20~24歲,,,25~29歲,,,30~34歲,,,35~39歲,,,40~44歲,,,45~49歲,,,50~54歲,,,55~59歲,,,60~64歲,,,65~69歲,,,70~74歲,,,75~79歲,,,80~84歲,,,85歲以上,,
,,男,女,,男,女,,男,女,1~4 Years of Age,男,女,5~9 Years of Age,男,女,10~14 Years of Age,男,女,,男,女,20~24 Years of Age,男,女,25~29 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女
,Total,,,0~4 Years of Age,,,5~9 Years of Age,,,10~14 Years of Age,,,15~19 Years of Age,,,20~24 Years of Age,,,25~29 Years of Age,,,30~34 Years of Age,,,35~39 Years of Age,,,40~44 Years of Age,,,45~49 Years of Age,,,50~54 Years of Age,,,55~59 Years of Age,,,60~64 Years of Age,,,65~69 Years of Age,,,70~74 Years of Age,,,75~79 Years of Age,,,80~84 Years of Age,,,Above 85 Years Old,,
,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female
總計Total," 22,515 "," 22,515 ", - , - , - , - , - , - , - , 1 , 1 , - , 3 , 3 , - , 7 , 7 , - , 27 , 27 , - , 34 , 34 , - , 46 , 46 , - , 118 , 118 , - , 241 , 241 , - , 698 , 698 , - ," 1,210 "," 1,210 ", - ," 1,752 "," 1,752 ", - ," 2,789 "," 2,789 ", - ," 4,062 "," 4,062 ", - ," 5,614 "," 5,614 ", - ," 3,806 "," 3,806 ", - ," 2,107 "," 2,107 ", - 
台北市Taipei City," 5,479 "," 5,479 ", - , - , - , - , - , - , - , - , - , - , 1 , 1 , - , 3 , 3 , - , 5 , 5 , - , 9 , 9 , - , 18 , 18 , - , 42 , 42 , - , 88 , 88 , - , 237 , 237 , - , 412 , 412 , - , 487 , 487 , - , 660 , 660 , - , 884 , 884 , - ," 1,183 "," 1,183 ", - , 906 , 906 , - , 544 , 544 , - 
台北縣 Taipei County," 3,361 "," 3,361 ", - , - , - , - , - , - , - , - , - , - , - , - , - , 3 , 3 , - , 12 , 12 , - , 7 , 7 , - , 14 , 14 , - , 25 , 25 , - , 50 , 50 , - , 191 , 191 , - , 275 , 275 , - , 313 , 313 , - , 406 , 406 , - , 541 , 541 , - , 751 , 751 , - , 491 , 491 , - , 282 , 282 , - 
宜蘭縣Ilan County, 433 , 433 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , 1 , - , 3 , 3 , - , 3 , 3 , - , 12 , 12 , - , 34 , 34 , - , 55 , 55 , - , 87 , 87 , - , 114 , 114 , - , 68 , 68 , - , 56 , 56 , - 
基隆市Keelung City, 335 , 335 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 6 , 6 , - , 4 , 4 , - , 9 , 9 , - , 22 , 22 , - , 17 , 17 , - , 53 , 53 , - , 56 , 56 , - , 82 , 82 , - , 63 , 63 , - , 23 , 23 , - 
金門縣Kinmen County, 99 , 99 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , 1 , - , - , - , - , 5 , 5 , - , 11 , 11 , - , 10 , 10 , - , 25 , 25 , - , 18 , 18 , - , 6 , 6 , - , 14 , 14 , - , 9 , 9 , - 
連江縣Lienchiang County, 4 , 4 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , 1 , - , 1 , 1 , - , - , - , - , - , - , - , 1 , 1 , - , - , - , - , 1 , 1 , - , - , - , - , - , - , - 
