十五大癌症第十五位膀胱癌--按戶籍縣市別統計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
門、住診合計(包括急診)統計---縣市別*性別年齡五歲組別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
單位：人數,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中華民國九十六年_2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
縣市別,門、住診合計(包括急診)人數,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,總計,,,0~4歲,,,5~9歲,,,10~14歲,,,15~19歲,,,20~24歲,,,25~29歲,,,30~34歲,,,35~39歲,,,40~44歲,,,45~49歲,,,50~54歲,,,55~59歲,,,60~64歲,,,65~69歲,,,70~74歲,,,75~79歲,,,80~84歲,,,85歲以上,,
,,男,女,,男,女,,男,女,1~4 Years of Age,男,女,5~9 Years of Age,男,女,10~14 Years of Age,男,女,,男,女,20~24 Years of Age,男,女,25~29 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女
,Total,,,0~4 Years of Age,,,5~9 Years of Age,,,10~14 Years of Age,,,15~19 Years of Age,,,20~24 Years of Age,,,25~29 Years of Age,,,30~34 Years of Age,,,35~39 Years of Age,,,40~44 Years of Age,,,45~49 Years of Age,,,50~54 Years of Age,,,55~59 Years of Age,,,60~64 Years of Age,,,65~69 Years of Age,,,70~74 Years of Age,,,75~79 Years of Age,,,80~84 Years of Age,,,Above 85 Years Old,,
,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female
總計Total," 16,651 "," 11,356 "," 5,295 ", - , - , - , 6 , 4 , 2 , 9 , 8 , 1 , 15 , 11 , 4 , 43 , 29 , 14 , 74 , 43 , 31 , 128 , 86 , 42 , 223 , 151 , 72 , 401 , 264 , 137 , 761 , 497 , 264 ," 1,219 ", 775 , 444 ," 1,609 "," 1,051 ", 558 ," 1,515 ", 974 , 541 ," 2,187 "," 1,410 ", 777 ," 2,531 "," 1,672 ", 859 ," 2,787 "," 2,027 ", 760 ," 1,976 "," 1,493 ", 483 ," 1,167 ", 861 , 306 
台北市Taipei City," 2,551 "," 1,642 ", 909 , - , - , - , 2 , 1 , 1 , 1 , 1 , - , 2 , 1 , 1 , 10 , 6 , 4 , 15 , 7 , 8 , 28 , 18 , 10 , 43 , 32 , 11 , 68 , 32 , 36 , 127 , 68 , 59 , 213 , 120 , 93 , 252 , 149 , 103 , 204 , 115 , 89 , 269 , 156 , 113 , 299 , 183 , 116 , 422 , 304 , 118 , 354 , 274 , 80 , 242 , 175 , 67 
台北縣 Taipei County," 2,142 "," 1,511 ", 631 , - , - , - , 1 , - , 1 , 6 , 5 , 1 , 3 , 2 , 1 , 13 , 10 , 3 , 17 , 8 , 9 , 24 , 15 , 9 , 46 , 28 , 18 , 75 , 45 , 30 , 134 , 88 , 46 , 206 , 125 , 81 , 239 , 156 , 83 , 177 , 124 , 53 , 221 , 142 , 79 , 279 , 198 , 81 , 308 , 247 , 61 , 239 , 192 , 47 , 154 , 126 , 28 
宜蘭縣Ilan County, 310 , 236 , 74 , - , - , - , - , - , - , - , - , - , 1 , - , 1 , - , - , - , 2 , 2 , - , 2 , 1 , 1 , 3 , 2 , 1 , 10 , 8 , 2 , 8 , 6 , 2 , 20 , 16 , 4 , 22 , 17 , 5 , 22 , 15 , 7 , 42 , 36 , 6 , 66 , 43 , 23 , 58 , 48 , 10 , 31 , 25 , 6 , 23 , 17 , 6 
基隆市Keelung City, 296 , 221 , 75 , - , - , - , - , - , - , - , - , - , 1 , 1 , - , - , - , - , 1 , - , 1 , 6 , 4 , 2 , 2 , 2 , - , 5 , 4 , 1 , 12 , 8 , 4 , 11 , 8 , 3 , 24 , 18 , 6 , 19 , 10 , 9 , 44 , 32 , 12 , 44 , 34 , 10 , 54 , 43 , 11 , 41 , 31 , 10 , 32 , 26 , 6 
金門縣Kinmen County, 41 , 34 , 7 , - , - , - , - , - , - , 1 , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , 1 , - , 7 , 5 , 2 , 3 , 3 , - , 2 , 2 , - , 9 , 8 , 1 , 7 , 7 , - , 2 , 2 , - , 4 , 3 , 1 , 5 , 2 , 3 
連江縣Lienchiang County, 9 , 8 , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 2 , 2 , - , - , - , - , - , - , - , 3 , 3 , - , - , - , - , 2 , 1 , 1 , 1 , 1 , - , 1 , 1 , - 
