十五大癌症第二位肝癌--按戶籍縣市別統計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
門、住診合計(包括急診)統計---縣市別*性別年齡五歲組別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
單位：人數,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中華民國九十六年_2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
縣市別,門、住診合計(包括急診)人數,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,總計,,,0~4歲,,,5~9歲,,,10~14歲,,,15~19歲,,,20~24歲,,,25~29歲,,,30~34歲,,,35~39歲,,,40~44歲,,,45~49歲,,,50~54歲,,,55~59歲,,,60~64歲,,,65~69歲,,,70~74歲,,,75~79歲,,,80~84歲,,,85歲以上,,
,,男,女,,男,女,,男,女,1~4 Years of Age,男,女,5~9 Years of Age,男,女,10~14 Years of Age,男,女,,男,女,20~24 Years of Age,男,女,25~29 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女
,Total,,,0~4 Years of Age,,,5~9 Years of Age,,,10~14 Years of Age,,,15~19 Years of Age,,,20~24 Years of Age,,,25~29 Years of Age,,,30~34 Years of Age,,,35~39 Years of Age,,,40~44 Years of Age,,,45~49 Years of Age,,,50~54 Years of Age,,,55~59 Years of Age,,,60~64 Years of Age,,,65~69 Years of Age,,,70~74 Years of Age,,,75~79 Years of Age,,,80~84 Years of Age,,,Above 85 Years Old,,
,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female
總計Total," 49,601 "," 32,751 "," 16,850 ", 46 , 29 , 17 , 44 , 25 , 19 , 39 , 23 , 16 , 58 , 30 , 28 , 170 , 94 , 76 , 529 , 340 , 189 , 979 , 641 , 338 ," 1,752 "," 1,185 ", 567 ," 2,810 "," 2,033 ", 777 ," 4,015 "," 2,924 "," 1,091 "," 5,359 "," 3,835 "," 1,524 "," 6,252 "," 4,325 "," 1,927 "," 5,310 "," 3,504 "," 1,806 "," 6,814 "," 4,338 "," 2,476 "," 6,268 "," 3,802 "," 2,466 "," 5,052 "," 3,146 "," 1,906 "," 2,707 "," 1,695 "," 1,012 "," 1,397 ", 782 , 615 
台北市Taipei City," 5,673 "," 3,599 "," 2,074 ", 7 , 2 , 5 , 2 , 1 , 1 , 8 , 2 , 6 , 11 , 3 , 8 , 18 , 9 , 9 , 66 , 37 , 29 , 120 , 68 , 52 , 207 , 126 , 81 , 311 , 207 , 104 , 462 , 306 , 156 , 629 , 399 , 230 , 709 , 478 , 231 , 592 , 381 , 211 , 664 , 436 , 228 , 700 , 420 , 280 , 587 , 355 , 232 , 368 , 233 , 135 , 212 , 136 , 76 
台北縣 Taipei County," 6,153 "," 4,175 "," 1,978 ", 5 , 3 , 2 , 10 , 6 , 4 , 7 , 7 , - , 9 , 4 , 5 , 31 , 17 , 14 , 90 , 63 , 27 , 150 , 99 , 51 , 277 , 186 , 91 , 395 , 264 , 131 , 620 , 447 , 173 , 826 , 599 , 227 , 840 , 610 , 230 , 662 , 437 , 225 , 689 , 435 , 254 , 603 , 384 , 219 , 511 , 355 , 156 , 280 , 171 , 109 , 148 , 88 , 60 
宜蘭縣Ilan County," 1,560 "," 1,012 ", 548 , 2 , - , 2 , - , - , - , - , - , - , 6 , 1 , 5 , 10 , 5 , 5 , 27 , 15 , 12 , 43 , 29 , 14 , 71 , 44 , 27 , 125 , 87 , 38 , 141 , 93 , 48 , 174 , 108 , 66 , 171 , 114 , 57 , 149 , 103 , 46 , 209 , 138 , 71 , 205 , 134 , 71 , 137 , 91 , 46 , 62 , 38 , 24 , 28 , 12 , 16 
基隆市Keelung City, 928 , 580 , 348 , 3 , 2 , 1 , 1 , 1 , - , 1 , 1 , - , 2 , 1 , 1 , 2 , 2 , - , 12 , 7 , 5 , 20 , 13 , 7 , 34 , 18 , 16 , 47 , 32 , 15 , 79 , 63 , 16 , 99 , 62 , 37 , 114 , 77 , 37 , 86 , 50 , 36 , 114 , 68 , 46 , 124 , 78 , 46 , 115 , 65 , 50 , 57 , 29 , 28 , 18 , 11 , 7 
金門縣Kinmen County, 211 , 161 , 50 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , 1 , - , 4 , 3 , 1 , 6 , 6 , - , 10 , 10 , - , 24 , 20 , 4 , 16 , 14 , 2 , 33 , 25 , 8 , 28 , 24 , 4 , 33 , 21 , 12 , 28 , 21 , 7 , 13 , 7 , 6 , 8 , 6 , 2 , 7 , 3 , 4 
連江縣Lienchiang County, 29 , 22 , 7 , - , - , - , - , - , - , - , - , - , - , - , - , 1 , 1 , - , - , - , - , - , - , - , 2 , 1 , 1 , - , - , - , 2 , 1 , 1 , 6 , 2 , 4 , 1 , 1 , - , 6 , 6 , - , 6 , 6 , - , - , - , - , 4 , 3 , 1 , 1 , 1 , - , - , - , - 
