十五大癌症第十位子宮頸及部位未明示子宮癌--按戶籍縣市別統計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
門、住診合計(包括急診)統計---縣市別*性別年齡五歲組別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
單位：人數,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中華民國九十八年_2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
縣市別,門、住診合計(包括急診)人數,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,總計,,,0~4歲,,,5~9歲,,,10~14歲,,,15~19歲,,,20~24歲,,,25~29歲,,,30~34歲,,,35~39歲,,,40~44歲,,,45~49歲,,,50~54歲,,,55~59歲,,,60~64歲,,,65~69歲,,,70~74歲,,,75~79歲,,,80~84歲,,,85歲以上,,
,,男,女,,男,女,,男,女,1~4 Years of Age,男,女,5~9 Years of Age,男,女,10~14 Years of Age,男,女,,男,女,20~24 Years of Age,男,女,25~29 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女
,Total,,,0~4 Years of Age,,,5~9 Years of Age,,,10~14 Years of Age,,,15~19 Years of Age,,,20~24 Years of Age,,,25~29 Years of Age,,,30~34 Years of Age,,,35~39 Years of Age,,,40~44 Years of Age,,,45~49 Years of Age,,,50~54 Years of Age,,,55~59 Years of Age,,,60~64 Years of Age,,,65~69 Years of Age,,,70~74 Years of Age,,,75~79 Years of Age,,,80~84 Years of Age,,,Above 85 Years Old,,
,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female
總計Total," 23,544 ", - ," 23,544 ", - , - , - , 3 , - , 3 , 1 , - , 1 , 6 , - , 6 , 55 , - , 55 , 147 , - , 147 , 317 , - , 317 , 749 , - , 749 ," 1,552 ", - ," 1,552 "," 2,719 ", - ," 2,719 "," 3,620 ", - ," 3,620 "," 3,620 ", - ," 3,620 "," 2,315 ", - ," 2,315 "," 2,541 ", - ," 2,541 "," 2,470 ", - ," 2,470 "," 1,811 ", - ," 1,811 "," 1,048 ", - ," 1,048 ", 570 , - , 570 
台北市Taipei City," 2,209 ", - ," 2,209 ", - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 7 , - , 7 , 19 , - , 19 , 66 , - , 66 , 162 , - , 162 , 213 , - , 213 , 302 , - , 302 , 324 , - , 324 , 191 , - , 191 , 257 , - , 257 , 275 , - , 275 , 184 , - , 184 , 131 , - , 131 , 78 , - , 78 
台北縣 Taipei County," 3,404 ", - ," 3,404 ", - , - , - , - , - , - , 1 , - , 1 , 1 , - , 1 , 7 , - , 7 , 16 , - , 16 , 55 , - , 55 , 112 , - , 112 , 251 , - , 251 , 453 , - , 453 , 616 , - , 616 , 509 , - , 509 , 351 , - , 351 , 333 , - , 333 , 294 , - , 294 , 222 , - , 222 , 118 , - , 118 , 65 , - , 65 
宜蘭縣Ilan County, 572 , - , 572 , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , 1 , 4 , - , 4 , 7 , - , 7 , 13 , - , 13 , 29 , - , 29 , 47 , - , 47 , 82 , - , 82 , 74 , - , 74 , 53 , - , 53 , 73 , - , 73 , 68 , - , 68 , 58 , - , 58 , 45 , - , 45 , 18 , - , 18 
基隆市Keelung City, 438 , - , 438 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , 1 , 4 , - , 4 , 7 , - , 7 , 27 , - , 27 , 57 , - , 57 , 64 , - , 64 , 58 , - , 58 , 49 , - , 49 , 44 , - , 44 , 52 , - , 52 , 32 , - , 32 , 29 , - , 29 , 14 , - , 14 
金門縣Kinmen County, 63 , - , 63 , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , 1 , - , - , - , - , - , - , - , - , - , 2 , - , 2 , 8 , - , 8 , 14 , - , 14 , 12 , - , 12 , 6 , - , 6 , 8 , - , 8 , 5 , - , 5 , 3 , - , 3 , 3 , - , 3 , 1 , - , 1 
連江縣Lienchiang County, 8 , - , 8 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , 1 , 2 , - , 2 , 1 , - , 1 , 2 , - , 2 , 1 , - , 1 , - , - , - , - , - , - , - , - , - , 1 , - , 1 , - , - , - 
