十五大癌症第十四位膀胱癌--按戶籍縣市別統計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
門、住診合計(包括急診)統計---縣市別*性別年齡五歲組別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
單位：人數,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中華民國九十八年_2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
縣市別,門、住診合計(包括急診)人數,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,總計,,,0~4歲,,,5~9歲,,,10~14歲,,,15~19歲,,,20~24歲,,,25~29歲,,,30~34歲,,,35~39歲,,,40~44歲,,,45~49歲,,,50~54歲,,,55~59歲,,,60~64歲,,,65~69歲,,,70~74歲,,,75~79歲,,,80~84歲,,,85歲以上,,
,,男,女,,男,女,,男,女,1~4 Years of Age,男,女,5~9 Years of Age,男,女,10~14 Years of Age,男,女,,男,女,20~24 Years of Age,男,女,25~29 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女
,Total,,,0~4 Years of Age,,,5~9 Years of Age,,,10~14 Years of Age,,,15~19 Years of Age,,,20~24 Years of Age,,,25~29 Years of Age,,,30~34 Years of Age,,,35~39 Years of Age,,,40~44 Years of Age,,,45~49 Years of Age,,,50~54 Years of Age,,,55~59 Years of Age,,,60~64 Years of Age,,,65~69 Years of Age,,,70~74 Years of Age,,,75~79 Years of Age,,,80~84 Years of Age,,,Above 85 Years Old,,
,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female
總計Total," 18,744 "," 12,801 "," 5,943 ", 4 , 4 , - , 10 , 6 , 4 , 12 , 9 , 3 , 10 , 7 , 3 , 24 , 13 , 11 , 71 , 43 , 28 , 120 , 84 , 36 , 193 , 126 , 67 , 410 , 281 , 129 , 710 , 462 , 248 ," 1,311 ", 861 , 450 ," 1,920 "," 1,260 ", 660 ," 1,743 "," 1,143 ", 600 ," 2,403 "," 1,546 ", 857 ," 2,828 "," 1,861 ", 967 ," 2,980 "," 2,152 ", 828 ," 2,425 "," 1,790 ", 635 ," 1,570 "," 1,153 ", 417 
台北市Taipei City," 2,804 "," 1,802 "," 1,002 ", - , - , - , 2 , 1 , 1 , 6 , 5 , 1 , 4 , 3 , 1 , 3 , 1 , 2 , 8 , 5 , 3 , 21 , 14 , 7 , 30 , 18 , 12 , 72 , 36 , 36 , 132 , 73 , 59 , 197 , 109 , 88 , 322 , 185 , 137 , 226 , 132 , 94 , 327 , 200 , 127 , 325 , 198 , 127 , 404 , 286 , 118 , 408 , 303 , 105 , 317 , 233 , 84 
台北縣 Taipei County," 2,329 "," 1,655 ", 674 , - , - , - , 5 , 4 , 1 , 5 , 3 , 2 , 1 , - , 1 , 4 , 1 , 3 , 22 , 14 , 8 , 26 , 16 , 10 , 42 , 25 , 17 , 52 , 34 , 18 , 112 , 75 , 37 , 226 , 146 , 80 , 288 , 193 , 95 , 215 , 154 , 61 , 240 , 152 , 88 , 285 , 181 , 104 , 327 , 267 , 60 , 265 , 215 , 50 , 214 , 175 , 39 
宜蘭縣Ilan County, 358 , 261 , 97 , - , - , - , - , - , - , - , - , - , 1 , 1 , - , 1 , 1 , - , 1 , 1 , - , 4 , 3 , 1 , 2 , 2 , - , 10 , 4 , 6 , 12 , 8 , 4 , 20 , 14 , 6 , 36 , 26 , 10 , 28 , 17 , 11 , 42 , 32 , 10 , 56 , 40 , 16 , 65 , 47 , 18 , 43 , 34 , 9 , 37 , 31 , 6 
基隆市Keelung City, 299 , 225 , 74 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 3 , 3 , - , 5 , 2 , 3 , 4 , 3 , 1 , 12 , 8 , 4 , 18 , 16 , 2 , 28 , 21 , 7 , 17 , 12 , 5 , 40 , 25 , 15 , 50 , 38 , 12 , 46 , 37 , 9 , 45 , 33 , 12 , 31 , 27 , 4 
金門縣Kinmen County, 43 , 33 , 10 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , 1 , 1 , - , 1 , - , - , - , 1 , 1 , - , 2 , 1 , 1 , 4 , 3 , 1 , 6 , 5 , 1 , 4 , 3 , 1 , 3 , 3 , - , 7 , 6 , 1 , 5 , 5 , - , 3 , 3 , - , 6 , 3 , 3 
連江縣Lienchiang County, 8 , 6 , 2 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , 1 , - , 1 , 1 , - , - , - , - , 2 , 2 , - , - , - , - , 1 , 1 , - , 1 , - , 1 , 1 , 1 , - , 1 , - , 1 
