十五大癌症第三位結腸、直腸和肛門癌--按戶籍縣市別統計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
門、住診合計(包括急診)統計---縣市別*性別年齡五歲組別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
單位：人數,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中華民國九十八年_2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
縣市別,門、住診合計(包括急診)人數,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,總計,,,0~4歲,,,5~9歲,,,10~14歲,,,15~19歲,,,20~24歲,,,25~29歲,,,30~34歲,,,35~39歲,,,40~44歲,,,45~49歲,,,50~54歲,,,55~59歲,,,60~64歲,,,65~69歲,,,70~74歲,,,75~79歲,,,80~84歲,,,85歲以上,,
,,男,女,,男,女,,男,女,1~4 Years of Age,男,女,5~9 Years of Age,男,女,10~14 Years of Age,男,女,,男,女,20~24 Years of Age,男,女,25~29 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女
,Total,,,0~4 Years of Age,,,5~9 Years of Age,,,10~14 Years of Age,,,15~19 Years of Age,,,20~24 Years of Age,,,25~29 Years of Age,,,30~34 Years of Age,,,35~39 Years of Age,,,40~44 Years of Age,,,45~49 Years of Age,,,50~54 Years of Age,,,55~59 Years of Age,,,60~64 Years of Age,,,65~69 Years of Age,,,70~74 Years of Age,,,75~79 Years of Age,,,80~84 Years of Age,,,Above 85 Years Old,,
,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female
總計Total," 72,580 "," 39,672 "," 32,908 ", 3 , 2 , 1 , 6 , 3 , 3 , 29 , 14 , 15 , 97 , 47 , 50 , 204 , 119 , 85 , 537 , 283 , 254 , 970 , 516 , 454 ," 1,461 ", 762 , 699 ," 2,300 "," 1,142 "," 1,158 "," 3,923 "," 1,952 "," 1,971 "," 6,220 "," 3,163 "," 3,057 "," 8,251 "," 4,337 "," 3,914 "," 7,307 "," 4,015 "," 3,292 "," 9,285 "," 5,098 "," 4,187 "," 9,881 "," 5,417 "," 4,464 "," 9,985 "," 5,832 "," 4,153 "," 7,565 "," 4,536 "," 3,029 "," 4,556 "," 2,434 "," 2,122 "
台北市Taipei City," 10,961 "," 5,713 "," 5,248 ", - , - , - , 1 , 1 , - , 13 , 8 , 5 , 24 , 3 , 21 , 46 , 26 , 20 , 94 , 53 , 41 , 135 , 63 , 72 , 224 , 106 , 118 , 360 , 167 , 193 , 545 , 255 , 290 , 910 , 414 , 496 ," 1,228 ", 599 , 629 ," 1,118 ", 578 , 540 ," 1,282 ", 645 , 637 ," 1,403 ", 729 , 674 ," 1,443 ", 818 , 625 ," 1,204 ", 719 , 485 , 931 , 529 , 402 
台北縣 Taipei County," 10,311 "," 5,519 "," 4,792 ", 1 , 1 , - , 1 , - , 1 , 4 , 1 , 3 , 14 , 8 , 6 , 44 , 22 , 22 , 101 , 55 , 46 , 178 , 104 , 74 , 282 , 131 , 151 , 363 , 168 , 195 , 662 , 307 , 355 ," 1,129 ", 548 , 581 ," 1,339 ", 684 , 655 ," 1,186 ", 629 , 557 ," 1,273 ", 696 , 577 ," 1,157 ", 628 , 529 ," 1,153 ", 689 , 464 , 901 , 551 , 350 , 523 , 297 , 226 
宜蘭縣Ilan County," 1,986 "," 1,043 ", 943 , - , - , - , - , - , - , - , - , - , 6 , 4 , 2 , 6 , 3 , 3 , 8 , 4 , 4 , 25 , 13 , 12 , 46 , 21 , 25 , 52 , 22 , 30 , 105 , 48 , 57 , 146 , 64 , 82 , 210 , 108 , 102 , 178 , 88 , 90 , 266 , 147 , 119 , 281 , 150 , 131 , 303 , 175 , 128 , 230 , 135 , 95 , 124 , 61 , 63 
基隆市Keelung City," 1,278 ", 697 , 581 , - , - , - , - , - , - , - , - , - , 1 , 1 , - , 2 , - , 2 , 6 , 2 , 4 , 12 , 7 , 5 , 22 , 13 , 9 , 48 , 24 , 24 , 84 , 41 , 43 , 118 , 66 , 52 , 126 , 73 , 53 , 128 , 72 , 56 , 173 , 89 , 84 , 159 , 81 , 78 , 176 , 95 , 81 , 144 , 85 , 59 , 79 , 48 , 31 
金門縣Kinmen County, 307 , 189 , 118 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , 1 , 5 , 3 , 2 , 3 , 3 , - , 4 , 3 , 1 , 23 , 13 , 10 , 33 , 20 , 13 , 31 , 16 , 15 , 38 , 28 , 10 , 50 , 39 , 11 , 50 , 30 , 20 , 34 , 19 , 15 , 21 , 9 , 12 , 14 , 6 , 8 
連江縣Lienchiang County, 23 , 18 , 5 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , 1 , - , 2 , 1 , 1 , 3 , 3 , - , 1 , 1 , - , 2 , 2 , - , 2 , 2 , - , 4 , 2 , 2 , 6 , 4 , 2 , 2 , 2 , - , - , - , - 
