十五大癌症第七位前列腺(攝護腺)癌--按戶籍縣市別統計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
門、住診合計(包括急診)統計---縣市別*性別年齡五歲組別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
單位：人數,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中華民國九十九年_2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
縣市別,門、住診合計(包括急診)人數,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,總計,,,0~4歲,,,5~9歲,,,10~14歲,,,15~19歲,,,20~24歲,,,25~29歲,,,30~34歲,,,35~39歲,,,40~44歲,,,45~49歲,,,50~54歲,,,55~59歲,,,60~64歲,,,65~69歲,,,70~74歲,,,75~79歲,,,80~84歲,,,85歲以上,,
,,男,女,,男,女,,男,女,1~4 Years of Age,男,女,5~9 Years of Age,男,女,10~14 Years of Age,男,女,,男,女,20~24 Years of Age,男,女,25~29 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女,30~34 Years of Age,男,女
,Total,,,0~4 Years of Age,,,5~9 Years of Age,,,10~14 Years of Age,,,15~19 Years of Age,,,20~24 Years of Age,,,25~29 Years of Age,,,30~34 Years of Age,,,35~39 Years of Age,,,40~44 Years of Age,,,45~49 Years of Age,,,50~54 Years of Age,,,55~59 Years of Age,,,60~64 Years of Age,,,65~69 Years of Age,,,70~74 Years of Age,,,75~79 Years of Age,,,80~84 Years of Age,,,Above 85 Years Old,,
,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female,,Male,Female
總計Total," 30,677 "," 30,677 ", - , 10 , 10 , - , 9 , 9 , - , 18 , 18 , - , 10 , 10 , - , 23 , 23 , - , 27 , 27 , - , 58 , 58 , - , 66 , 66 , - , 149 , 149 , - , 275 , 275 , - , 720 , 720 , - ," 1,717 "," 1,717 ", - ," 2,371 "," 2,371 ", - ," 3,982 "," 3,982 ", - ," 5,070 "," 5,070 ", - ," 6,392 "," 6,392 ", - ," 6,165 "," 6,165 ", - ," 3,615 "," 3,615 ", - 
新北市New Taipei City," 4,714 "," 4,714 ", - , - , - , - , - , - , - , - , - , - , - , - , - , 2 , 2 , - , 5 , 5 , - , 12 , 12 , - , 10 , 10 , - , 23 , 23 , - , 58 , 58 , - , 166 , 166 , - , 380 , 380 , - , 438 , 438 , - , 657 , 657 , - , 718 , 718 , - , 892 , 892 , - , 839 , 839 , - , 514 , 514 , - 
台北市Taipei City," 7,057 "," 7,057 ", - , - , - , - , - , - , - , - , - , - , - , - , - , 4 , 4 , - , 4 , 4 , - , 9 , 9 , - , 18 , 18 , - , 40 , 40 , - , 69 , 69 , - , 222 , 222 , - , 498 , 498 , - , 656 , 656 , - , 926 , 926 , - ," 1,030 "," 1,030 ", - ," 1,261 "," 1,261 ", - ," 1,388 "," 1,388 ", - , 932 , 932 , - 
台中市Taichung City," 2,802 "," 2,802 ", - , - , - , - , - , - , - , - , - , - , - , - , - , 2 , 2 , - , 2 , 2 , - , 3 , 3 , - , 3 , 3 , - , 10 , 10 , - , 21 , 21 , - , 48 , 48 , - , 133 , 133 , - , 195 , 195 , - , 365 , 365 , - , 456 , 456 , - , 591 , 591 , - , 633 , 633 , - , 340 , 340 , - 
台南市Tainan City," 1,973 "," 1,973 ", - , - , - , - , - , - , - , 1 , 1 , - , - , - , - , - , - , - , 2 , 2 , - , 1 , 1 , - , 4 , 4 , - , 2 , 2 , - , 13 , 13 , - , 28 , 28 , - , 90 , 90 , - , 117 , 117 , - , 253 , 253 , - , 396 , 396 , - , 487 , 487 , - , 379 , 379 , - , 200 , 200 , - 
高雄市Kaohsiung City," 2,871 "," 2,871 ", - , 1 , 1 , - , - , - , - , 1 , 1 , - , - , - , - , 2 , 2 , - , 2 , 2 , - , 6 , 6 , - , 1 , 1 , - , 12 , 12 , - , 14 , 14 , - , 40 , 40 , - , 140 , 140 , - , 228 , 228 , - , 400 , 400 , - , 457 , 457 , - , 660 , 660 , - , 584 , 584 , - , 323 , 323 , - 
宜蘭縣Ilan County, 677 , 677 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , 1 , - , - , - , - , - , - , - , 3 , 3 , - , 10 , 10 , - , 13 , 13 , - , 34 , 34 , - , 37 , 37 , - , 88 , 88 , - , 131 , 131 , - , 146 , 146 , - , 142 , 142 , - , 72 , 72 , - 
